path,critical
L03->L25,False
L03->L26,False
L03->L33,False
L03->L32,False
L03->L30,False
L03->L38,False
L03->L02,False
L03->L08,False
L03->L06,False
L03->L01,False
L02->L03,False
L04->L01,False
L03->L24,False
L38->L32,False
L38->L33,False
L03->L12,False
L09->L03,True
L19->L25,False
L19->L26,False
L12->L03,False
L03->L14,False
L20->L25,False
L20->L26,False
L03->L09,True
L16->L03,False
L25->L03,False
L26->L03,False
L22->L25,False
L22->L26,False
L14->L25,False
L14->L26,False
L03->L27,False
L21->L03,False
L03->L07,False
L03->L04,False
L11->L03,False
L36->L03,False
L37->L03,False
L03->L21,False
L03->L23,False
L24->L03,False
L29->L03,False
L28->L03,False
L19->L03,False
L32->L03,False
L33->L03,False
L20->L03,False
L03->L31,False
L19->L32,False
L19->L33,False
L03->L11,False
L13->L03,False
L38->L03,False
L34->L03,False
L35->L03,False
L38->L25,False
L38->L26,False
L18->L03,False
L20->L32,False
L20->L33,False
L06->L01,False
L05->L01,False
L31->L03,False
L03->L36,False
L03->L37,False
L17->L03,False
L30->L03,False
L22->L03,False
L03->L20,False
L14->L32,False
L14->L33,False
L23->L03,False
L03->L22,False
L01->L02,False
L03->L10,False
L22->L32,False
L22->L33,False
L03->L05,False
L03->L13,False
L03->L15,False
L03->L16,False
L03->L17,False
L03->L18,False
L03->L19,False
L03->L28,False
L03->L29,False
L03->L34,False
L03->L35,False
L28->L30,False
L02->L01,False
L01->L04,False
L01->L03,False
L14->L06,False
L14->L03,False
L15->L06,False
L19->L23,True
L30->L32,False
L30->L33,False
L19->L30,False
L15->L03,False
