scenario_id,initial_outages,initial_outage_type,do_nothing_negative_return,best_action,best_negative_return,best_improvement,label_action,label_type,is_improvable
0,"6,9",common_bus_N-2,103.92105608476768,14,100.1,3.82105608476769,14,active_mitigation,True
1,"3,7",common_bus_N-2,109.9449801382734,14,100.1,9.8449801382734,14,active_mitigation,True
4,2,N-1,105.87046353340943,14,100.1,5.7704635334094405,14,active_mitigation,True
6,1,N-1,101.98013266932448,1,100.1,1.8801326693244818,1,active_mitigation,True
8,"10,12",common_bus_N-2,107.19655554945895,14,100.1,7.096555549458955,14,active_mitigation,True
9,"6,9",common_bus_N-2,104.8770575499286,14,100.1,4.7770575499286,14,active_mitigation,True
11,"3,7",common_bus_N-2,106.91470226760568,14,100.1,6.814702267605682,14,active_mitigation,True
12,"6,7",common_bus_N-2,107.97876145155887,14,100.1,7.878761451558873,14,active_mitigation,True
14,"8,16",common_bus_N-2,103.92105608476768,14,100.1,3.82105608476769,14,active_mitigation,True
16,"4,6",common_bus_N-2,112.84310901244667,1,100.1,12.74310901244668,1,active_mitigation,True
17,"4,9",common_bus_N-2,107.83701400998507,14,100.1,7.737014009985074,14,active_mitigation,True
18,"14,16",common_bus_N-2,102.95544664514918,8,100.1,2.8554466451491862,8,active_mitigation,True
19,18,N-1,105.06011577988488,16,0.1,104.96011577988489,16,active_mitigation,True
22,0,N-1,102.95544664514918,2,100.1,2.8554466451491862,2,active_mitigation,True
23,"1,9",common_bus_N-2,104.8770575499286,1,100.1,4.7770575499286,1,active_mitigation,True
25,"4,9",common_bus_N-2,105.97219529022377,14,100.1,5.872195290223772,14,active_mitigation,True
26,2,N-1,106.8230128641651,14,100.1,6.723012864165099,14,active_mitigation,True
27,"9,11",common_bus_N-2,104.99095716382821,14,100.1,4.890957163828219,14,active_mitigation,True
29,"11,12",common_bus_N-2,101.12822125828782,14,100.1,1.0282212582878287,14,active_mitigation,True
37,"3,5",common_bus_N-2,108.86142614027987,9,0.1,108.76142614027988,9,active_mitigation,True
38,"2,3",common_bus_N-2,103.96108154246336,2,100.1,3.861081542463367,2,active_mitigation,True
39,"1,9",common_bus_N-2,103.92105608476768,1,100.1,3.82105608476769,1,active_mitigation,True
40,1,N-1,105.97016591949085,1,100.1,5.870165919490859,1,active_mitigation,True
41,0,N-1,102.95544664514918,2,100.1,2.8554466451491862,2,active_mitigation,True
43,0,N-1,103.92105608476768,2,100.1,3.82105608476769,2,active_mitigation,True
45,"3,8",common_bus_N-2,104.8770575499286,14,100.1,4.7770575499286,14,active_mitigation,True
46,"6,9",common_bus_N-2,105.82354664157512,1,100.1,5.723546641575126,1,active_mitigation,True
48,"6,7",common_bus_N-2,103.95435961382503,1,100.1,3.8543596138250393,1,active_mitigation,True
49,"9,11",common_bus_N-2,104.8770575499286,14,100.1,4.7770575499286,14,active_mitigation,True
50,"1,6",common_bus_N-2,107.86142040951546,1,100.1,7.761420409515466,1,active_mitigation,True
51,"3,4",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
53,"10,12",common_bus_N-2,110.96386482602769,14,100.1,10.863864826027694,14,active_mitigation,True
55,"1,6",common_bus_N-2,104.95046327023238,1,100.1,4.850463270232382,1,active_mitigation,True
57,"15,16",common_bus_N-2,101.98013266932448,5,0.1,101.88013266932448,5,active_mitigation,True
58,"6,9",common_bus_N-2,102.95544664514918,14,100.1,2.8554466451491862,14,active_mitigation,True
59,"11,12",common_bus_N-2,103.08865127835381,14,100.1,2.9886512783538137,14,active_mitigation,True
61,"8,14",common_bus_N-2,103.9345695982812,8,100.1,3.834569598281206,8,active_mitigation,True
63,"12,18",common_bus_N-2,101.1046691347357,14,100.1,1.0046691347357068,14,active_mitigation,True
64,8,N-1,101.98013266932448,14,100.1,1.8801326693244818,14,active_mitigation,True
65,"5,7",common_bus_N-2,102.95544664514918,3,100.1,2.8554466451491862,3,active_mitigation,True
66,"8,15",common_bus_N-2,101.98013266932448,14,100.1,1.8801326693244818,14,active_mitigation,True
67,"11,12",common_bus_N-2,103.08865127835381,14,100.1,2.9886512783538137,14,active_mitigation,True
68,"3,8",common_bus_N-2,107.1077881870779,14,100.1,7.007788187077907,14,active_mitigation,True
69,"1,4",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
71,"2,3",common_bus_N-2,104.88890095186123,7,100.1,4.788900951861237,7,active_mitigation,True
72,"3,6",common_bus_N-2,104.89057106344211,3,100.1,4.7905710634421155,3,active_mitigation,True
73,"8,15",common_bus_N-2,101.98013266932448,14,100.1,1.8801326693244818,14,active_mitigation,True
74,"12,19",common_bus_N-2,103.03112232082485,14,100.1,2.931122320824855,14,active_mitigation,True
75,4,N-1,107.88858333615548,14,100.1,7.788583336155483,14,active_mitigation,True
76,"14,16",common_bus_N-2,109.09904610626639,8,100.1,8.999046106266391,8,active_mitigation,True
77,"4,6",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
78,"0,4",common_bus_N-2,103.95039971411131,2,100.1,3.850399714111319,2,active_mitigation,True
82,"0,2",common_bus_N-2,102.95544664514918,2,100.1,2.8554466451491862,2,active_mitigation,True
83,"8,15",common_bus_N-2,101.98013266932448,14,100.1,1.8801326693244818,14,active_mitigation,True
84,"5,8",common_bus_N-2,101.98013266932448,3,100.1,1.8801326693244818,3,active_mitigation,True
85,"3,7",common_bus_N-2,108.85194185916214,14,100.1,8.751941859162145,14,active_mitigation,True
86,"0,3",common_bus_N-2,102.95544664514918,2,100.1,2.8554466451491862,2,active_mitigation,True
87,"9,11",common_bus_N-2,105.93744625547474,14,100.1,5.837446255474745,14,active_mitigation,True
88,"1,6",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
89,"0,2",common_bus_N-2,102.95544664514918,2,100.1,2.8554466451491862,2,active_mitigation,True
92,14,N-1,105.9295862233644,8,100.1,5.829586223364402,8,active_mitigation,True
94,"6,8",common_bus_N-2,111.97701663969023,1,100.1,11.87701663969024,1,active_mitigation,True
97,"1,4",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
99,"1,9",common_bus_N-2,107.80226497523604,1,100.1,7.702264975236048,1,active_mitigation,True
100,"9,12",common_bus_N-2,105.93744625547474,14,100.1,5.837446255474745,14,active_mitigation,True
103,"10,11",common_bus_N-2,106.21143950521767,5,0.1,106.11143950521767,5,active_mitigation,True
104,"12,18",common_bus_N-2,101.1046691347357,14,100.1,1.0046691347357068,14,active_mitigation,True
106,3,N-1,107.83207678017183,6,0.1,107.73207678017184,6,active_mitigation,True
108,"0,3",common_bus_N-2,101.98013266932448,2,100.1,1.8801326693244818,2,active_mitigation,True
110,9,N-1,109.67842035856621,1,100.1,9.57842035856622,1,active_mitigation,True
114,"10,11",common_bus_N-2,106.21143950521767,5,0.1,106.11143950521767,5,active_mitigation,True
115,"8,14",common_bus_N-2,103.9345695982812,8,100.1,3.834569598281206,8,active_mitigation,True
117,"9,11",common_bus_N-2,104.99095716382821,14,100.1,4.890957163828219,14,active_mitigation,True
118,3,N-1,103.92105608476768,14,100.1,3.82105608476769,14,active_mitigation,True
119,"5,6",common_bus_N-2,104.8814284288793,1,100.1,4.781428428879309,1,active_mitigation,True
120,"1,9",common_bus_N-2,108.75553012152582,1,100.1,8.655530121525828,1,active_mitigation,True
126,"5,7",common_bus_N-2,104.92988093753253,14,100.1,4.829880937532536,14,active_mitigation,True
133,"9,11",common_bus_N-2,106.90926665805382,14,100.1,6.809266658053829,14,active_mitigation,True
134,"15,16",common_bus_N-2,101.98013266932448,10,100.1,1.8801326693244818,10,active_mitigation,True
135,3,N-1,108.81719282441311,14,100.1,8.717192824413118,14,active_mitigation,True
136,"1,4",common_bus_N-2,102.95544664514918,1,100.1,2.8554466451491862,1,active_mitigation,True
137,"6,9",common_bus_N-2,104.8770575499286,14,100.1,4.7770575499286,14,active_mitigation,True
139,"3,7",common_bus_N-2,105.85289027091875,14,100.1,5.752890270918755,14,active_mitigation,True
140,"6,8",common_bus_N-2,108.14095284772291,14,100.1,8.04095284772292,14,active_mitigation,True
