scenario_id,action,improvement
0,14,3.82105608476769
1,14,9.8449801382734
4,14,5.7704635334094405
6,1,1.8801326693244818
8,14,7.096555549458955
9,14,4.7770575499286
11,14,6.814702267605682
12,14,7.878761451558873
14,14,3.82105608476769
16,1,12.74310901244668
17,14,7.737014009985074
18,8,2.8554466451491862
19,16,104.96011577988489
22,2,2.8554466451491862
23,1,4.7770575499286
25,14,5.872195290223772
26,14,6.723012864165099
27,14,4.890957163828219
29,14,1.0282212582878287
37,9,108.76142614027988
38,2,3.861081542463367
39,1,3.82105608476769
40,1,5.870165919490859
41,2,2.8554466451491862
43,2,3.82105608476769
45,14,4.7770575499286
46,1,5.723546641575126
48,1,3.8543596138250393
49,14,4.7770575499286
50,1,7.761420409515466
51,1,2.8554466451491862
53,14,10.863864826027694
55,1,4.850463270232382
57,5,101.88013266932448
58,14,2.8554466451491862
59,14,2.9886512783538137
61,8,3.834569598281206
63,14,1.0046691347357068
64,14,1.8801326693244818
65,3,2.8554466451491862
66,14,1.8801326693244818
67,14,2.9886512783538137
68,14,7.007788187077907
69,1,2.8554466451491862
71,7,4.788900951861237
72,3,4.7905710634421155
73,14,1.8801326693244818
74,14,2.931122320824855
75,14,7.788583336155483
76,8,8.999046106266391
77,1,2.8554466451491862
78,2,3.850399714111319
82,2,2.8554466451491862
83,14,1.8801326693244818
84,3,1.8801326693244818
85,14,8.751941859162145
86,2,2.8554466451491862
87,14,5.837446255474745
88,1,2.8554466451491862
89,2,2.8554466451491862
92,8,5.829586223364402
94,1,11.87701663969024
97,1,2.8554466451491862
99,1,7.702264975236048
100,14,5.837446255474745
103,5,106.11143950521767
104,14,1.0046691347357068
106,6,107.73207678017184
108,2,1.8801326693244818
110,1,9.57842035856622
114,5,106.11143950521767
115,8,3.834569598281206
117,14,4.890957163828219
118,14,3.82105608476769
119,1,4.781428428879309
120,1,8.655530121525828
126,14,4.829880937532536
133,14,6.809266658053829
134,10,1.8801326693244818
135,14,8.717192824413118
136,1,2.8554466451491862
137,14,4.7770575499286
139,14,5.752890270918755
140,14,8.04095284772292
141,14,5.837446255474745
142,8,8.999046106266391
143,6,3.82105608476769
145,14,3.8419947834638464
148,3,5.737060155088642
149,14,7.757190219253076
150,6,2.8554466451491862
152,6,105.91486867786568
153,2,2.8554466451491862
155,11,106.99176529470292
156,10,4.983667903437009
157,1,5.816072709850886
158,3,3.82105608476769
159,14,1.0282212582878287
160,14,7.75052752349859
161,1,6.695367044154224
162,1,5.792412065277901
163,5,3.8908805376542546
164,6,104.85046327023238
166,14,2.8554466451491862
168,7,3.8665167579239466
169,11,103.98480180406018
170,14,10.863864826027694
171,14,4.99674866961972
172,8,3.834569598281206
173,8,2.9005191932200205
174,8,5.978234872013047
176,7,104.85046327023238
180,8,1.8801326693244818
184,2,3.82105608476769
185,4,105.8295862233644
186,14,1.0046691347357068
191,2,3.850399714111319
192,14,5.758295676324167
193,14,3.82105608476769
195,1,2.8554466451491862
197,1,6.801417804355424
201,2,2.8554466451491862
204,5,106.11143950521767
205,14,7.737014009985074
206,8,1.8801326693244818
209,6,1.8801326693244818
210,1,3.82105608476769
211,10,2.868960158662702
213,14,3.82105608476769
214,8,6.934236337173957
216,6,1.8801326693244818
217,14,5.96878394767829
218,14,8.999046106266391
220,1,4.7770575499286
221,14,11.86318043122597
222,1,1.8801326693244818
224,14,3.8379238210910955
226,1,6.845479895315563
227,1,2.8554466451491862
228,14,5.872195290223772
229,14,8.655530121525828
230,14,8.861591276002883
232,8,2.8554466451491862
234,14,1.8801326693244818
235,1,7.703489069297447
236,14,2.9886512783538137
239,1,6.8189891343534015
240,2,2.8554466451491862
241,8,5.829586223364402
242,4,5.8013394818945585
243,14,1.9897851789769874
245,14,5.837446255474745
246,14,1.8801326693244818
247,14,7.75052752349859
250,20,107.8899918380869
253,8,2.8599108734660206
255,14,6.785587688525311
256,14,5.829586223364402
257,14,4.890957163828219
259,14,7.067440970378584
260,7,105.8295862233644
262,14,4.890957163828219
263,14,1.8801326693244818
266,14,3.82105608476769
267,14,1.8801326693244818
270,6,4.806401179272228
271,3,5.737060155088642
272,14,5.0724243452953885
274,14,2.8554466451491862
275,8,4.99674866961972
277,1,6.9271556190905414
278,1,3.82105608476769
280,14,2.8554466451491862
282,16,107.96938415029813
283,1,4.780218813007039
284,14,1.0282212582878287
286,14,6.809266658053829
288,1,6.774517623304803
289,6,4.7770575499286
291,10,1.8801326693244818
292,6,3.82105608476769
293,3,7.938254386349442
295,14,8.01393006202511
296,6,2.8554466451491862
299,14,1.8801326693244818
