state_id,feature_mode,num_features,scenario_id,seed,active_depth,active_outage_sequence,num_candidate_lines,num_one_step_positive,num_reachable_positive
1,physics,9,1,20260750,0,,38,0,22
2,physics,9,1,20260750,1,L23,37,1,1
3,physics,9,1,20260750,1,L28,37,3,3
4,physics,9,1,20260750,1,L25,37,2,2
5,physics,9,1,20260750,1,L26,37,2,2
6,physics,9,1,20260750,1,L21,37,1,1
7,physics,9,1,20260750,1,L07,37,4,4
8,physics,9,1,20260750,1,L27,37,4,4
9,physics,9,1,20260750,1,L17,37,0,0
10,physics,9,1,20260750,1,L18,37,0,0
11,physics,9,1,20260750,1,L16,37,0,0
12,physics,9,2,20260751,0,,38,0,23
13,physics,9,2,20260751,1,L23,37,1,1
14,physics,9,2,20260751,1,L28,37,3,3
15,physics,9,2,20260751,1,L25,37,2,2
16,physics,9,2,20260751,1,L26,37,2,2
17,physics,9,2,20260751,1,L21,37,1,1
18,physics,9,2,20260751,1,L18,37,0,0
19,physics,9,2,20260751,1,L07,37,4,4
20,physics,9,2,20260751,1,L27,37,4,4
21,physics,9,2,20260751,1,L17,37,0,0
22,physics,9,2,20260751,1,L16,37,0,0
23,physics,9,3,20260752,0,,38,0,25
24,physics,9,3,20260752,1,L23,37,2,2
25,physics,9,3,20260752,1,L28,37,3,3
26,physics,9,3,20260752,1,L18,37,0,0
27,physics,9,3,20260752,1,L17,37,1,1
28,physics,9,3,20260752,1,L25,37,2,2
29,physics,9,3,20260752,1,L26,37,2,2
30,physics,9,3,20260752,1,L21,37,1,1
31,physics,9,3,20260752,1,L07,37,4,4
32,physics,9,3,20260752,1,L27,37,4,4
33,physics,9,3,20260752,1,L16,37,1,1
34,physics,9,4,20260753,0,,38,0,23
35,physics,9,4,20260753,1,L23,37,2,2
36,physics,9,4,20260753,1,L28,37,5,5
37,physics,9,4,20260753,1,L25,37,2,2
38,physics,9,4,20260753,1,L26,37,2,2
39,physics,9,4,20260753,1,L21,37,1,1
40,physics,9,4,20260753,1,L18,37,0,0
41,physics,9,4,20260753,1,L17,37,0,0
42,physics,9,4,20260753,1,L07,37,6,6
43,physics,9,4,20260753,1,L27,37,6,6
44,physics,9,4,20260753,1,L16,37,0,0
45,physics,9,5,20260754,0,,38,0,22
46,physics,9,5,20260754,1,L23,37,1,1
47,physics,9,5,20260754,1,L28,37,5,5
48,physics,9,5,20260754,1,L25,37,2,2
49,physics,9,5,20260754,1,L26,37,2,2
50,physics,9,5,20260754,1,L27,37,6,6
51,physics,9,5,20260754,1,L07,37,6,6
52,physics,9,5,20260754,1,L21,37,1,1
53,physics,9,5,20260754,1,L18,37,0,0
54,physics,9,5,20260754,1,L17,37,0,0
55,physics,9,5,20260754,1,L16,37,0,0
56,physics,9,6,20260755,0,,38,0,23
57,physics,9,6,20260755,1,L23,37,1,1
58,physics,9,6,20260755,1,L28,37,3,3
59,physics,9,6,20260755,1,L25,37,2,2
60,physics,9,6,20260755,1,L26,37,2,2
61,physics,9,6,20260755,1,L21,37,1,1
62,physics,9,6,20260755,1,L07,37,4,4
63,physics,9,6,20260755,1,L27,37,4,4
64,physics,9,6,20260755,1,L18,37,0,0
65,physics,9,6,20260755,1,L17,37,0,0
66,physics,9,6,20260755,1,L16,37,0,0
67,physics,9,7,20260756,0,,38,0,23
68,physics,9,7,20260756,1,L23,37,1,1
69,physics,9,7,20260756,1,L28,37,3,3
70,physics,9,7,20260756,1,L25,37,2,2
71,physics,9,7,20260756,1,L26,37,2,2
72,physics,9,7,20260756,1,L21,37,1,1
73,physics,9,7,20260756,1,L07,37,4,4
74,physics,9,7,20260756,1,L27,37,4,4
75,physics,9,7,20260756,1,L17,37,0,0
76,physics,9,7,20260756,1,L18,37,0,0
77,physics,9,7,20260756,1,L16,37,0,0
78,physics,9,8,20260757,0,,38,0,22
79,physics,9,8,20260757,1,L23,37,1,1
80,physics,9,8,20260757,1,L28,37,5,5
81,physics,9,8,20260757,1,L21,37,2,2
82,physics,9,8,20260757,1,L27,37,6,6
83,physics,9,8,20260757,1,L07,37,6,6
84,physics,9,8,20260757,1,L25,37,2,2
85,physics,9,8,20260757,1,L26,37,2,2
86,physics,9,8,20260757,1,L17,37,0,0
87,physics,9,8,20260757,1,L22,37,0,0
88,physics,9,8,20260757,1,L16,37,0,0
89,physics,9,9,20260758,0,,38,0,22
90,physics,9,9,20260758,1,L23,37,1,1
91,physics,9,9,20260758,1,L28,37,5,5
92,physics,9,9,20260758,1,L25,37,2,2
93,physics,9,9,20260758,1,L26,37,2,2
94,physics,9,9,20260758,1,L21,37,1,1
95,physics,9,9,20260758,1,L07,37,6,6
96,physics,9,9,20260758,1,L27,37,6,6
97,physics,9,9,20260758,1,L17,37,0,0
98,physics,9,9,20260758,1,L18,37,0,0
99,physics,9,9,20260758,1,L16,37,0,0
100,physics,9,10,20260759,0,,38,0,23
101,physics,9,10,20260759,1,L23,37,1,1
102,physics,9,10,20260759,1,L28,37,3,3
103,physics,9,10,20260759,1,L07,37,4,4
104,physics,9,10,20260759,1,L27,37,4,4
105,physics,9,10,20260759,1,L21,37,1,1
106,physics,9,10,20260759,1,L25,37,2,2
107,physics,9,10,20260759,1,L26,37,2,2
108,physics,9,10,20260759,1,L17,37,0,0
109,physics,9,10,20260759,1,L18,37,0,0
110,physics,9,10,20260759,1,L16,37,0,0
