step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,mask_enabled,mean_valid_action_count,sampled_invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
1,1,-105.03458650745755,105.03458650745755,"6,9",common_bus_N-2,2,1714,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,8,11.243157052993775,1,0
2,2,-100.1,100.1,"3,7",common_bus_N-2,2,1715,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
3,3,-101.14853164125964,101.14853164125964,17,N-1,1,748,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,14.929904747009275,1,0
4,4,-100.1,100.1,"0,1",common_bus_N-2,2,1737,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
5,5,-101.11967306676628,101.11967306676628,2,N-1,1,3,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,5.623080015182495,1,0
6,6,-0.1,0.1,4,N-1,1,1142,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
7,7,-103.05544664514917,103.05544664514917,1,N-1,1,979,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
8,8,-100.1,100.1,11,N-1,1,1292,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
9,9,-0.1,0.1,"10,12",common_bus_N-2,2,589,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
10,10,-100.1,100.1,"6,9",common_bus_N-2,2,1382,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
11,11,-100.1,100.1,"14,15",common_bus_N-2,2,1354,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
12,12,-100.1,100.1,"3,7",common_bus_N-2,2,771,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
13,13,-100.1,100.1,"6,7",common_bus_N-2,2,707,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
14,14,-100.1,100.1,"16,19",common_bus_N-2,2,1466,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,13.476019018888474,1,0
15,15,-100.1,100.1,"8,16",common_bus_N-2,2,1199,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
16,16,-104.05039971411131,104.05039971411131,"6,8",common_bus_N-2,2,1555,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,8.16503643989563,1,0
17,17,-111.65699107731899,111.65699107731899,"4,6",common_bus_N-2,2,1399,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,15,47.34801113605499,1,0
18,18,-100.1,100.1,"4,9",common_bus_N-2,2,1222,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
19,19,-100.1,100.1,"14,16",common_bus_N-2,2,563,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
20,20,-100.1,100.1,18,N-1,1,1538,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
21,21,-100.1,100.1,"10,12",common_bus_N-2,2,1402,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
22,22,-100.1,100.1,"7,13",common_bus_N-2,2,1466,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
23,23,-100.1,100.1,0,N-1,1,491,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
24,24,-100.1,100.1,"1,9",common_bus_N-2,2,1371,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
25,25,-100.1,100.1,"11,18",common_bus_N-2,2,1558,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,6.6520310759544365,1,0
26,26,-100.1,100.1,"4,9",common_bus_N-2,2,1613,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
27,27,-103.05544664514917,103.05544664514917,2,N-1,1,231,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
28,28,-106.90888055766771,106.90888055766771,"9,11",common_bus_N-2,2,343,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,14.555233716964722,1,0
29,29,-105.92354664157511,105.92354664157511,"8,16",common_bus_N-2,2,1001,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,1,0
30,30,-100.1,100.1,"11,12",common_bus_N-2,2,1059,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
32,31,-103.18013266932446,103.18013266932446,11,N-1,1,1135,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,5,0.0,2,0
33,32,-102.08013266932447,102.08013266932447,5,N-1,1,1761,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
34,33,-100.1,100.1,"11,18",common_bus_N-2,2,1595,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,6.153650367259979,1,0
35,34,-100.1,100.1,1,N-1,1,1389,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
36,35,-100.1,100.1,"4,6",common_bus_N-2,2,1695,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
38,36,-107.0855876885253,107.0855876885253,5,N-1,1,1170,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,9,3.2548754811286926,2,0
39,37,-100.1,100.1,19,N-1,1,1547,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
40,38,-100.1,100.1,"3,5",common_bus_N-2,2,881,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
41,39,-100.1,100.1,"2,3",common_bus_N-2,2,547,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
42,40,-100.1,100.1,"1,9",common_bus_N-2,2,312,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
44,41,-102.19501662508318,102.19501662508318,1,N-1,1,1115,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,2,0
45,42,-100.1,100.1,0,N-1,1,850,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
46,43,-100.1,100.1,8,N-1,1,757,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
47,44,-103.05544664514917,103.05544664514917,0,N-1,1,620,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
48,45,-100.1,100.1,"7,13",common_bus_N-2,2,1984,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
49,46,-100.1,100.1,"3,8",common_bus_N-2,2,652,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
50,47,-100.1,100.1,"6,9",common_bus_N-2,2,453,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
51,48,-103.05544664514917,103.05544664514917,16,N-1,1,294,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
52,49,-102.08013266932447,102.08013266932447,"6,7",common_bus_N-2,2,1915,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
53,50,-106.03744625547473,106.03744625547473,"9,11",common_bus_N-2,2,488,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,9,29.871969163417816,1,0
54,51,-100.1,100.1,"1,6",common_bus_N-2,2,663,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
