method,model_class,training_high_fidelity_labels,training_high_fidelity_fraction,low_fidelity_pretraining,adaptive_feedback,feedback_probe_n2_calls,requires_upfront_exact_n1_prescreen,critical_K90,critical_K90_std,critical_K90_n1_state_constructions,critical_K90_total_physical,critical_K95,critical_K95_std,critical_K95_n1_state_constructions,critical_K95_total_physical,critical_K99,critical_K99_std,critical_K99_n1_state_constructions,critical_K99_total_physical,relay_K90,relay_K90_std,relay_K90_n1_state_constructions,relay_K90_total_physical,relay_K95,relay_K95_std,relay_K95_n1_state_constructions,relay_K95_total_physical,relay_K99,relay_K99_std,relay_K99_n1_state_constructions,relay_K99_total_physical,critical_K90_relative_to_full_label
full_label_GCN_exact_N1_gate,PaperStyleRts79Gcn,1239452.0,1.0,False,False,0,True,1793.0,0.0,186.0,1979.0,2263.0,0.0,186.0,2449.0,4305.0,0.0,186.0,4491.0,,,,,,,,,,,,,1.0
line_order,,0.0,0.0,False,False,0,False,29277.0,0.0,0.0,29277.0,30946.0,0.0,0.0,30946.0,32251.0,0.0,0.0,32251.0,,,,,,,,,,,,,16.328499721137756
line_order_exact_N1_gate,,0.0,0.0,False,False,0,True,3693.0,0.0,186.0,3879.0,16118.0,0.0,186.0,16304.0,29418.0,0.0,186.0,29604.0,,,,,,,,,,,,,2.0596765197992193
LODF_yP,,0.0,0.0,False,False,0,False,29142.0,0.0,0.0,29142.0,30773.0,0.0,0.0,30773.0,32195.0,0.0,0.0,32195.0,,,,,,,,,,,,,16.253206915783604
LODF_yP_exact_N1_gate,,0.0,0.0,False,False,0,True,4431.0,0.0,186.0,4617.0,15845.0,0.0,186.0,16031.0,28887.0,0.0,186.0,29073.0,,,,,,,,,,,,,2.4712771890686
random_10_seed_mean,,0.0,0.0,False,False,0,False,29353.7,245.06781374414172,0.0,29353.7,30903.2,152.07147442348722,0.0,30903.2,32174.7,81.16108810398136,0.0,32174.7,,,,,,,,,,,,,16.3712771890686
random_exact_N1_gate_10_seed_mean,,0.0,0.0,False,False,0,True,4943.6,398.60066343257495,186.0,5129.6,18535.2,1082.0284243545134,186.0,18721.2,29693.2,924.5613734811408,186.0,29879.2,,,,,,,,,,,,,2.7571667596207474
MF_active_GCN_no_gate,PaperStyleRts79Gcn,61973.0,0.0500003227,True,False,0,False,25231.6,1684.7871675674646,176.0,25407.6,27701.2,1034.2379803507508,176.0,27877.2,31084.2,524.1857495201485,176.0,31260.2,25496.0,1608.8174228295763,176.0,25672.0,27919.4,1070.9046642908977,176.0,28095.4,31155.6,533.7235239335063,176.0,31331.6,14.072281093139988
MF_active_GCN_static_proxy_gate26,PaperStyleRts79Gcn,61973.0,0.0500003227,True,False,0,False,4529.2,43.11844153027797,170.6,4699.8,5450.8,211.5317943005259,175.0,5625.8,19109.0,2483.243141538903,176.0,19285.0,4451.6,35.61319980007413,169.0,4620.6,5032.0,131.13923897903328,174.4,5206.4,18651.2,2451.8465898175605,176.0,18827.2,2.5260457334076967
MF_active_GCN_adaptive_probe_gate26,PaperStyleRts79Gcn,61973.0,0.0500003227,True,True,130,False,1897.0,21.30727575266252,176.0,2073.0,3608.8,353.49780763110823,176.0,3784.8,19039.6,2824.5418743576806,176.0,19215.6,1827.0,0.0,176.0,2003.0,2909.2,293.4027948060482,176.0,3085.2,18823.0,2698.755083367144,176.0,18999.0,1.0580033463469047
Phase2_active_GCN_adaptive_probe_gate26,PaperStyleRts79Gcn,61973.0,0.0500003227,False,True,130,False,1918.8,15.738487856207788,176.0,2094.8,3877.4,455.5373749759728,176.0,4053.4,21167.8,4608.553916360315,176.0,21343.8,1827.0,0.0,176.0,2003.0,3115.2,318.2863490632296,176.0,3291.2,21103.4,4568.036317719026,176.0,21279.4,1.0701617401003904
random_label_GCN_adaptive_probe_gate26,PaperStyleRts79Gcn,61973.0,0.0500003227,False,True,130,False,1952.4,10.13903348450926,176.0,2128.4,4158.0,492.6545442802695,176.0,4334.0,11193.4,2208.2083914341056,176.0,11369.4,1827.0,0.0,176.0,2003.0,3507.0,379.4779308471048,176.0,3683.0,8993.6,1325.978619737136,176.0,9169.6,1.0889012827663136
MF_active_GCN_adaptive_probe_gate76_sensitivity,PaperStyleRts79Gcn,61973.0,0.0500003227,True,True,380,False,2254.0,0.0,176.0,2430.0,3582.4,256.00058593682945,176.0,3758.4,19244.8,2797.555307764263,176.0,19420.8,2244.0,0.0,176.0,2420.0,3324.0,226.58331800907143,176.0,3500.0,19030.8,2673.201582372717,176.0,19206.8,1.257110987172337
MF_active_plus_random_anchor_mean_adaptive_probe,PaperStyleRts79Gcn,118075.0,0.09526387468010056,True,True,130,False,1918.2,13.026895255585652,176.0,2094.2,3678.2,178.73499937057656,176.0,3854.2,11320.2,1584.8614134996158,176.0,11496.2,1827.0,0.0,176.0,2003.0,3102.0,215.753331376366,176.0,3278.0,8862.6,684.0316513144695,176.0,9038.6,1.0698271054099275
