step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
1,1,-105.09380969316663,105.09380969316663,"6,9",common_bus_N-2,2,1714,0.0,0.0,0.0,0.0,0.0,1,8,22.817425155639647,1,0
2,2,-105.38857441019852,105.38857441019852,"3,7",common_bus_N-2,2,1715,0.0,0.0,0.0,0.0,0.0,1,8,84.42671689391136,1,0
3,3,-101.36566572453071,101.36566572453071,17,N-1,1,748,0.0,0.0,0.0,0.0,0.0,1,3,75.50712983608246,1,0
4,4,-100.1,100.1,"0,1",common_bus_N-2,2,1737,0.0,0.0,0.0,0.0,0.0,1,3,76.82003271579742,1,0
5,5,-101.35700815218271,101.35700815218271,2,N-1,1,3,0.0,0.0,0.0,0.0,0.0,1,3,59.749064326286316,1,0
6,6,-0.1,0.1,4,N-1,1,1142,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
7,7,-103.5973588947982,103.5973588947982,1,N-1,1,979,0.0,0.0,0.0,0.0,0.0,1,5,161.80376183986664,1,0
9,8,-104.15544664514918,104.15544664514918,11,N-1,1,1292,0.0,0.0,0.0,0.0,0.0,2,6,0.0,2,0
10,9,-104.16586323194053,104.16586323194053,"10,12",common_bus_N-2,2,589,0.0,0.0,0.0,0.0,0.0,1,7,37.052038764953615,1,0
11,10,-103.0713454096183,103.0713454096183,"6,9",common_bus_N-2,2,1382,0.0,0.0,0.0,0.0,0.0,1,6,3.19429412484169,1,0
12,11,-0.1,0.1,"14,15",common_bus_N-2,2,1354,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
14,12,-109.55688951751395,109.55688951751395,"3,7",common_bus_N-2,2,771,0.0,0.0,0.0,0.0,0.0,2,12,135.01490156650542,2,0
15,13,-100.1,100.1,"6,7",common_bus_N-2,2,707,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
16,14,-100.1,100.1,"16,19",common_bus_N-2,2,1466,0.0,0.0,0.0,0.0,0.0,1,3,13.476019018888474,1,0
18,15,-104.26509915480169,104.26509915480169,"8,16",common_bus_N-2,2,1199,0.0,0.0,0.0,0.0,0.0,2,7,28.966763734817505,2,0
20,16,-103.2160945586691,103.2160945586691,"6,8",common_bus_N-2,2,1555,0.0,0.0,0.0,0.0,0.0,2,6,10.006605982780457,2,0
22,17,-106.39712188660751,106.39712188660751,"4,6",common_bus_N-2,2,1399,0.0,0.0,0.0,0.0,0.0,2,9,53.43479013442993,2,0
23,18,-107.88544298564224,107.88544298564224,"4,9",common_bus_N-2,2,1222,0.0,0.0,0.0,0.0,0.0,1,10,53.812777364253996,0,0
25,19,-104.15544664514918,104.15544664514918,"14,16",common_bus_N-2,2,563,0.0,0.0,0.0,0.0,0.0,2,7,0.0,2,0
26,20,-102.24392298592839,102.24392298592839,18,N-1,1,1538,0.0,0.0,0.0,0.0,0.0,1,4,45.711744284629816,1,0
27,21,-101.09501662508319,101.09501662508319,"10,12",common_bus_N-2,2,1402,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
28,22,-100.1,100.1,"7,13",common_bus_N-2,2,1466,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
29,23,-103.54728641542481,103.54728641542481,0,N-1,1,491,0.0,0.0,0.0,0.0,0.0,1,5,122.36784678697586,1,0
30,24,-106.12972424775272,106.12972424775272,"1,9",common_bus_N-2,2,1371,0.0,0.0,0.0,0.0,0.0,1,9,42.58479473590851,1,0
31,25,-100.1,100.1,"11,18",common_bus_N-2,2,1558,0.0,0.0,0.0,0.0,0.0,1,3,6.6520310759544365,1,0
32,26,-108.01375742791011,108.01375742791011,"4,9",common_bus_N-2,2,1613,0.0,0.0,0.0,0.0,0.0,1,11,54.34529254436493,1,0
33,27,-103.28808796528844,103.28808796528844,2,N-1,1,231,0.0,0.0,0.0,0.0,0.0,1,5,52.89097809791565,1,0
34,28,-107.99454296751402,107.99454296751402,"9,11",common_bus_N-2,2,343,0.0,0.0,0.0,0.0,0.0,1,11,62.17995843887329,1,0
35,29,-100.1,100.1,"8,16",common_bus_N-2,2,1001,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
36,30,-105.12784466666425,105.12784466666425,"11,12",common_bus_N-2,2,1059,0.0,0.0,0.0,0.0,0.0,1,8,37.47547152042389,1,0
37,31,-101.22822125828782,101.22822125828782,11,N-1,1,1135,0.0,0.0,0.0,0.0,0.0,1,3,28.781313568353653,1,0
38,32,-103.30357083244503,103.30357083244503,5,N-1,1,1761,0.0,0.0,0.0,0.0,0.0,1,5,61.66125612258911,1,0
39,33,-100.1,100.1,"11,18",common_bus_N-2,2,1595,0.0,0.0,0.0,0.0,0.0,1,3,6.153650367259979,1,0
40,34,-102.55434228714763,102.55434228714763,1,N-1,1,1389,0.0,0.0,0.0,0.0,0.0,1,4,97.25823068618774,1,0
41,35,-0.1,0.1,"4,6",common_bus_N-2,2,1695,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
42,36,-0.1,0.1,5,N-1,1,1170,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
43,37,-101.36226299663375,101.36226299663375,19,N-1,1,1547,0.0,0.0,0.0,0.0,0.0,1,3,74.22128992080688,1,0
45,38,-102.49639243179483,102.49639243179483,"3,5",common_bus_N-2,2,881,0.0,0.0,0.0,0.0,0.0,2,5,75.0319818854332,2,0
46,39,-104.53005770671186,104.53005770671186,"2,3",common_bus_N-2,2,547,0.0,0.0,0.0,0.0,0.0,1,7,123.95166123509406,1,0
47,40,-108.36264123902313,108.36264123902313,"1,9",common_bus_N-2,2,312,0.0,0.0,0.0,0.0,0.0,1,11,154.3066704273224,1,0
49,41,-104.17514929440766,104.17514929440766,1,N-1,1,1115,0.0,0.0,0.0,0.0,0.0,2,6,0.0,2,0
50,42,-103.43786485599209,103.43786485599209,0,N-1,1,850,0.0,0.0,0.0,0.0,0.0,1,5,84.42209219932556,1,0
51,43,-105.52537308057754,105.52537308057754,8,N-1,1,757,0.0,0.0,0.0,0.0,0.0,1,7,145.6730533003807,1,0
52,44,-103.59770089168397,103.59770089168397,0,N-1,1,620,0.0,0.0,0.0,0.0,0.0,1,5,156.99829751253128,1,0
53,45,-100.1,100.1,"7,13",common_bus_N-2,2,1984,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
54,46,-108.44849606559262,108.44849606559262,"3,8",common_bus_N-2,2,652,0.0,0.0,0.0,0.0,0.0,1,11,208.45700991153717,1,0
55,47,-100.1,100.1,"6,9",common_bus_N-2,2,453,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
56,48,-101.2046691347357,101.2046691347357,16,N-1,1,294,0.0,0.0,0.0,0.0,0.0,1,3,27.634494686126708,1,0
57,49,-106.48965182245271,106.48965182245271,"6,7",common_bus_N-2,2,1915,0.0,0.0,0.0,0.0,0.0,1,9,137.71505774259566,1,0
58,50,-104.17415726808233,104.17415726808233,"9,11",common_bus_N-2,2,488,0.0,0.0,0.0,0.0,0.0,1,7,40.15319868326188,1,0
59,51,-104.65320867332353,104.65320867332353,"1,6",common_bus_N-2,2,663,0.0,0.0,0.0,0.0,0.0,1,7,202.4778751730919,1,0
60,52,-103.67570228602035,103.67570228602035,"3,4",common_bus_N-2,2,700,0.0,0.0,0.0,0.0,0.0,1,6,201.02789896726608,1,0
61,53,-102.08013266932447,102.08013266932447,"18,19",common_bus_N-2,2,1001,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
62,54,-104.24540174527112,104.24540174527112,"10,12",common_bus_N-2,2,616,0.0,0.0,0.0,0.0,0.0,1,7,64.88419979810715,1,0
63,55,-100.1,100.1,"16,19",common_bus_N-2,2,1775,0.0,0.0,0.0,0.0,0.0,1,3,15.524118745326996,1,0
64,56,-103.546243342049,103.546243342049,"1,6",common_bus_N-2,2,724,0.0,0.0,0.0,0.0,0.0,1,6,146.34899604320526,1,0
65,57,-100.1,100.1,"7,14",common_bus_N-2,2,1343,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
66,58,0.0,-0.0,"15,16",common_bus_N-2,2,1741,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0,0
67,59,-108.42845306862984,108.42845306862984,"6,9",common_bus_N-2,2,1790,0.0,0.0,0.0,0.0,0.0,1,11,180.002059674263,1,0
68,60,-105.25891083178188,105.25891083178188,"11,12",common_bus_N-2,2,1305,0.0,0.0,0.0,0.0,0.0,1,8,76.60874772071838,1,0
69,61,-100.1,100.1,"7,14",common_bus_N-2,2,530,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
70,62,-100.1,100.1,"8,14",common_bus_N-2,2,98,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
71,63,-102.53931042740848,102.53931042740848,"1,6",common_bus_N-2,2,870,0.0,0.0,0.0,0.0,0.0,1,5,106.64969074726105,1,0
72,64,-100.1,100.1,"12,18",common_bus_N-2,2,91,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
73,65,-103.42971907212093,103.42971907212093,8,N-1,1,1139,0.0,0.0,0.0,0.0,0.0,1,5,76.32245618104935,1,0
75,66,-102.19501662508318,102.19501662508318,"5,7",common_bus_N-2,2,1151,0.0,0.0,0.0,0.0,0.0,2,5,0.0,2,0
76,67,-0.1,0.1,"8,15",common_bus_N-2,2,1694,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
77,68,-103.1886512783538,103.1886512783538,"11,12",common_bus_N-2,2,1461,0.0,0.0,0.0,0.0,0.0,1,6,31.586886048316956,1,0
79,69,-105.44322264164659,105.44322264164659,"3,8",common_bus_N-2,2,1513,0.0,0.0,0.0,0.0,0.0,2,7,105.03055021762847,1,0
80,70,-103.59107274145781,103.59107274145781,"1,4",common_bus_N-2,2,591,0.0,0.0,0.0,0.0,0.0,1,6,138.1058591246605,1,0
81,71,-100.1,100.1,"0,1",common_bus_N-2,2,533,0.0,0.0,0.0,0.0,0.0,1,3,98.26275658607483,1,0
82,72,-105.56222498355862,105.56222498355862,"2,3",common_bus_N-2,2,1851,0.0,0.0,0.0,0.0,0.0,1,8,174.5214791536331,1,0
83,73,-108.43758954322658,108.43758954322658,"3,6",common_bus_N-2,2,1797,0.0,0.0,0.0,0.0,0.0,1,11,185.15059173107147,1,0
84,74,-103.05544664514917,103.05544664514917,"8,15",common_bus_N-2,2,47,0.0,0.0,0.0,0.0,0.0,1,6,0.0,1,0
85,75,-100.1,100.1,"12,19",common_bus_N-2,2,398,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
86,76,-103.05544664514917,103.05544664514917,4,N-1,1,972,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
87,77,-102.22878131797312,102.22878131797312,"14,16",common_bus_N-2,2,1023,0.0,0.0,0.0,0.0,0.0,1,5,39.89667582511902,1,0
89,78,-108.52444911559456,108.52444911559456,"4,6",common_bus_N-2,2,1026,0.0,0.0,0.0,0.0,0.0,2,11,138.7013198494911,2,0
90,79,-103.51522459992908,103.51522459992908,"0,4",common_bus_N-2,2,846,0.0,0.0,0.0,0.0,0.0,1,6,108.9053236246109,1,0
91,80,-100.1,100.1,"7,13",common_bus_N-2,2,1891,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
93,81,-110.15078509285398,110.15078509285398,"5,6",common_bus_N-2,2,1194,0.0,0.0,0.0,0.0,0.0,2,12,94.14165474772452,1,0
94,82,-100.1,100.1,16,N-1,1,1082,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
95,83,-103.47847774312727,103.47847774312727,"0,2",common_bus_N-2,2,1355,0.0,0.0,0.0,0.0,0.0,1,6,90.73179739713669,1,0
96,84,-0.1,0.1,"8,15",common_bus_N-2,2,1737,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
97,85,-104.29611283531494,104.29611283531494,"5,8",common_bus_N-2,2,329,0.0,0.0,0.0,0.0,0.0,1,7,80.5891886472702,1,0
99,86,-112.48161890239061,112.48161890239061,"3,7",common_bus_N-2,2,844,0.0,0.0,0.0,0.0,0.0,2,15,146.06740750074385,2,0
100,87,-103.59184765264723,103.59184765264723,"0,3",common_bus_N-2,2,1264,0.0,0.0,0.0,0.0,0.0,1,6,148.0222728252411,1,0
101,88,-105.14605318352992,105.14605318352992,"9,11",common_bus_N-2,2,600,0.0,0.0,0.0,0.0,0.0,1,8,45.73561365604401,1,0
102,89,-106.50495072954978,106.50495072954978,"1,6",common_bus_N-2,2,1300,0.0,0.0,0.0,0.0,0.0,1,9,152.2747659087181,1,0
103,90,-103.42947439165343,103.42947439165343,"0,2",common_bus_N-2,2,1645,0.0,0.0,0.0,0.0,0.0,1,6,79.26956236362457,1,0
104,91,-0.1,0.1,"12,19",common_bus_N-2,2,1340,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
105,92,-102.08013266932447,102.08013266932447,17,N-1,1,326,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
106,93,-102.08013266932447,102.08013266932447,14,N-1,1,1873,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
107,94,-100.1,100.1,"8,15",common_bus_N-2,2,1710,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
108,95,-0.1,0.1,"6,8",common_bus_N-2,2,1622,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
109,96,-104.54075724369353,104.54075724369353,3,N-1,1,1059,0.0,0.0,0.0,0.0,0.0,1,6,129.16253325939178,1,0
111,97,-107.61660454170965,107.61660454170965,5,N-1,1,71,0.0,0.0,0.0,0.0,0.0,2,9,164.89386543035508,2,0
113,98,-102.2185687486353,102.2185687486353,"1,4",common_bus_N-2,2,1712,0.0,0.0,0.0,0.0,0.0,2,5,4.847881770133972,2,0
114,99,-100.1,100.1,"10,17",common_bus_N-2,2,279,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
115,100,-110.34603496239593,110.34603496239593,"1,9",common_bus_N-2,2,419,0.0,0.0,0.0,0.0,0.0,1,13,241.57708127498626,1,0
116,101,-103.05544664514917,103.05544664514917,"9,12",common_bus_N-2,2,212,0.0,0.0,0.0,0.0,0.0,1,6,0.0,1,0
117,102,-100.1,100.1,"0,1",common_bus_N-2,2,96,0.0,0.0,0.0,0.0,0.0,1,3,161.78738009929657,1,0
118,103,-101.16014988707408,101.16014988707408,15,N-1,1,1500,0.0,0.0,0.0,0.0,0.0,1,3,16.856329715251924,1,0
119,104,-100.1,100.1,"10,11",common_bus_N-2,2,12,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
120,105,-100.1,100.1,"12,18",common_bus_N-2,2,1616,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
122,106,-106.32572342161129,106.32572342161129,5,N-1,1,776,0.0,0.0,0.0,0.0,0.0,2,8,52.099170899391176,2,0
124,107,-108.53268667948412,108.53268667948412,3,N-1,1,1198,0.0,0.0,0.0,0.0,0.0,2,9,160.01491606235504,1,0
125,108,-100.1,100.1,"7,13",common_bus_N-2,2,285,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
126,109,-103.57418227232944,103.57418227232944,"0,3",common_bus_N-2,2,307,0.0,0.0,0.0,0.0,0.0,1,6,137.31279355287552,1,0
127,110,-101.09501662508319,101.09501662508319,"5,6",common_bus_N-2,2,1632,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
128,111,-108.40533911649152,108.40533911649152,9,N-1,1,1505,1.4901161193847656e-07,4934.06689453125,2.929622173309326,1.862645149230957e-09,0.0,1,10,166.68604761362076,1,0
