path,first_line,second_line,critical,relay_cascade,total_load_shed_mw,critical_mechanism,p_shed_first,p_shed_second,path_prob_score,second_only_score,path_prob_rank,second_only_rank,rank_gap,relay_trip_labels,final_outage_labels,full_cascade_path
L095->L183,L095,L183,True,True,81.35922639729833,relay_cascade,8.346317e-06,0.9999822378158569,8.34616875118053e-06,0.9999822378158569,29031,62,28969,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L095->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L181,L095,L181,True,True,20.772296104867053,relay_cascade,8.346317e-06,0.9999372959136963,8.345793651818514e-06,0.9999372959136963,29032,106,28926,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L095->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L016,L095,L016,True,True,31.514792047850804,relay_cascade,8.346317e-06,0.9979259967803955,8.32900671167016e-06,0.9979259967803955,29039,499,28540,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182",L095->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L180,L095,L180,True,True,7.272188818003705,relay_cascade,8.346317e-06,0.9970296621322632,8.321525618558764e-06,0.9970296621322632,29040,540,28500,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L095->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L047,L095,L047,True,True,31.300605334860517,relay_cascade,8.346317e-06,0.9865022897720337,8.233660831663251e-06,0.9865022897720337,29056,738,28318,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182",L095->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L008,L095,L008,True,True,25.67010059251546,relay_cascade,8.346317e-06,0.9533641338348389,7.95707927741599e-06,0.9533641338348389,29127,1120,28007,"L018,L019,L020,L022,L045,L060,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182","L008,L018,L019,L020,L022,L045,L060,L095,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182",L095->L008->L018->L019->L020->L022->L045->L060->L102->L109->L111->L115->L128->L134->L140->L155->L178->L182
L095->L147,L095,L147,True,True,43.59265123807146,relay_cascade,8.346317e-06,0.9456778764724731,7.892927336926102e-06,0.9456778764724731,29145,1252,27893,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L095,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L095->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L095->L184,L095,L184,True,True,21.648461416338748,relay_cascade,8.346317e-06,0.8419837951660156,7.0274636633186335e-06,0.8419837951660156,29345,1805,27540,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L095->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L051,L095,L051,True,True,36.76716258821504,relay_cascade,8.346317e-06,0.7602641582489014,6.345405668483496e-06,0.7602641582489014,29507,2350,27157,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182",L095->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L095->L061,L095,L061,True,True,33.88157185629734,relay_cascade,8.346317e-06,0.4240001440048218,3.538839609909892e-06,0.4240001440048218,30362,3880,26482,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L095,L102,L115,L128,L134,L140,L155,L158,L178,L182",L095->L061->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
