top_rank,top_bucket,scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,error
1,"top_20,top_50,top_100",1,20260708,L001->L013,L001,L013,True,True,20.67354040745169,20.67354040745169,0.0,0.0555555555555555,"L001,L013",2,
2,"top_20,top_50,top_100",1,20260708,L001->L037,L001,L037,True,False,0.0,0.0,0.0,0.0626570847607711,"L001,L037",2,
3,"top_20,top_50,top_100",1,20260708,L001->L003,L001,L003,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L003",2,
4,"top_20,top_50,top_100",1,20260708,L001->L004,L001,L004,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L004",2,
5,"top_20,top_50,top_100",1,20260708,L001->L005,L001,L005,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L005",2,
6,"top_20,top_50,top_100",1,20260708,L001->L006,L001,L006,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L006",2,
7,"top_20,top_50,top_100",1,20260708,L001->L011,L001,L011,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L011",2,
8,"top_20,top_50,top_100",1,20260708,L001->L012,L001,L012,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L012",2,
9,"top_20,top_50,top_100",1,20260708,L001->L015,L001,L015,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L015",2,
10,"top_20,top_50,top_100",1,20260708,L001->L017,L001,L017,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L017",2,
11,"top_20,top_50,top_100",1,20260708,L001->L019,L001,L019,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L019",2,
12,"top_20,top_50,top_100",1,20260708,L001->L020,L001,L020,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L020",2,
13,"top_20,top_50,top_100",1,20260708,L001->L021,L001,L021,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L021",2,
14,"top_20,top_50,top_100",1,20260708,L001->L022,L001,L022,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L022",2,
15,"top_20,top_50,top_100",1,20260708,L001->L023,L001,L023,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L023",2,
16,"top_20,top_50,top_100",1,20260708,L001->L024,L001,L024,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L024",2,
17,"top_20,top_50,top_100",1,20260708,L001->L025,L001,L025,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L025",2,
18,"top_20,top_50,top_100",1,20260708,L001->L026,L001,L026,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L026",2,
19,"top_20,top_50,top_100",1,20260708,L001->L027,L001,L027,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L027",2,
20,"top_20,top_50,top_100",1,20260708,L001->L028,L001,L028,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L028",2,
21,"top_50,top_100",1,20260708,L001->L029,L001,L029,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L029",2,
22,"top_50,top_100",1,20260708,L001->L030,L001,L030,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L030",2,
23,"top_50,top_100",1,20260708,L001->L031,L001,L031,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L031",2,
24,"top_50,top_100",1,20260708,L001->L033,L001,L033,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L033",2,
25,"top_50,top_100",1,20260708,L001->L034,L001,L034,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L034",2,
26,"top_50,top_100",1,20260708,L001->L035,L001,L035,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L035",2,
27,"top_50,top_100",1,20260708,L001->L036,L001,L036,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L036",2,
28,"top_50,top_100",1,20260708,L001->L039,L001,L039,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L039",2,
29,"top_50,top_100",1,20260708,L001->L040,L001,L040,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L040",2,
30,"top_50,top_100",1,20260708,L001->L041,L001,L041,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L041",2,
31,"top_50,top_100",1,20260708,L001->L042,L001,L042,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L042",2,
32,"top_50,top_100",1,20260708,L001->L043,L001,L043,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L043",2,
33,"top_50,top_100",1,20260708,L001->L045,L001,L045,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L045",2,
34,"top_50,top_100",1,20260708,L001->L046,L001,L046,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L046",2,
35,"top_50,top_100",1,20260708,L001->L048,L001,L048,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L048",2,
36,"top_50,top_100",1,20260708,L001->L049,L001,L049,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L049",2,
37,"top_50,top_100",1,20260708,L001->L050,L001,L050,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L050",2,
38,"top_50,top_100",1,20260708,L001->L052,L001,L052,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L052",2,
39,"top_50,top_100",1,20260708,L001->L053,L001,L053,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L053",2,
40,"top_50,top_100",1,20260708,L001->L056,L001,L056,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L056",2,
41,"top_50,top_100",1,20260708,L001->L057,L001,L057,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L057",2,
42,"top_50,top_100",1,20260708,L001->L058,L001,L058,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L058",2,
