method,top_k,mean_recall,mean_found
PIO_GCN_Top20,20,0.2111307336731065,12.0
PIO_GCN_Top50,50,0.337932914543084,19.2
PIO_GCN_Top100,100,0.4227509778357236,24.0
PIO_GCN_Top200,200,0.5205392912172574,29.6
paper_GCN_path_prob_strong,20,0.1757129311366599,10.0
paper_GCN_path_prob_strong,50,0.254204100983762,14.4
paper_GCN_path_prob_strong,100,0.3502370510845087,20.0
paper_GCN_path_prob_strong,200,0.5684378333530875,32.2
LODF_yP,20,0.0355908498281379,2.0
LODF_yP,50,0.1342515112006637,7.6
LODF_yP,100,0.207457627118644,11.8
LODF_yP,200,0.3288420054521749,18.8
random,20,0.0074825174825174,0.4
random,50,0.0255244755244755,1.4
random,100,0.0690174232547113,3.8
random,200,0.1557271542017305,8.6
line_order,20,0.0067796610169491,0.4
line_order,50,0.0245750859310181,1.4
line_order,100,0.060165935759156,3.4
line_order,200,0.1340049780727747,7.6
oracle,20,0.3559084982813796,20.0
oracle,50,0.889771245703449,50.0
oracle,100,1.0,56.6
oracle,200,1.0,56.6
paper_GCN_path_prob_strong_v2,20,0.17571293113665995,10.0
paper_GCN_path_prob_strong_v2,50,0.24410098376200073,13.8
paper_GCN_path_prob_strong_v2,100,0.3296112362214057,18.8
paper_GCN_path_prob_strong_v2,200,0.5645916795069337,32.0
