group,frequency_threshold_hz,rotor_angle_threshold_deg,num_cases,unstable_count,unstable_fraction,mean_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,mean_dynamic_stress_score
learned_top20,48.0,180.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.0,360.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.0,540.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.0,720.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.0,900.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.5,180.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.5,360.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.5,540.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.5,720.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,48.5,900.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.0,180.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.0,360.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.0,540.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.0,720.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.0,900.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.5,180.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.5,360.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.5,540.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.5,720.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
learned_top20,49.5,900.0,20,20,1.0,45.248146283792735,179.98574174225186,26.10836328122557
line_order_top20,48.0,180.0,20,8,0.4,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.0,360.0,20,8,0.4,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.0,540.0,20,8,0.4,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.0,720.0,20,8,0.4,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.0,900.0,20,8,0.4,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.5,180.0,20,16,0.8,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.5,360.0,20,16,0.8,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.5,540.0,20,16,0.8,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.5,720.0,20,16,0.8,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,48.5,900.0,20,16,0.8,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.0,180.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.0,360.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.0,540.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.0,720.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.0,900.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.5,180.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.5,360.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.5,540.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.5,720.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
line_order_top20,49.5,900.0,20,20,1.0,47.13620770950082,179.97354149893658,9.1307283323961
low_score_top20,48.0,180.0,20,14,0.7,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.0,360.0,20,14,0.7,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.0,540.0,20,14,0.7,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.0,720.0,20,14,0.7,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.0,900.0,20,14,0.7,46.51841339594373,179.97544871196686,11.752783793910762
