feature,coefficient,abs_coefficient
intercept,-0.41583707401691994,0.41583707401691994
line_id_L15,0.034239670485132045,0.034239670485132045
line_id_L08,-0.03259935382728559,0.03259935382728559
line_id_L14,0.029722973534333223,0.029722973534333223
line_id_L21,-0.026819359044125062,0.026819359044125062
line_id_L17,0.025300858330140227,0.025300858330140227
line_id_L24,0.023640689424757843,0.023640689424757843
line_id_L11,-0.02060412482473012,0.02060412482473012
min_frequency_hz,-0.0151931355607011,0.0151931355607011
line_id_L07,-0.014328403832377089,0.014328403832377089
max_frequency_hz,0.013034350711955182,0.013034350711955182
fault_type_pilot_line_trip,-0.011258193245716537,0.011258193245716537
trip_implementation_handwired_timed_breaker,-0.01125819324569987,0.01125819324569987
breaker_opened,-0.011258193245652741,0.011258193245652741
max_rotor_angle_separation_deg,0.011116990125241802,0.011116990125241802
line_id_L04,0.01099688762269439,0.01099688762269439
line_id_L13,0.009596885355428405,0.009596885355428405
line_id_L26,-0.008747943688283355,0.008747943688283355
line_id_L06,-0.008636419371189986,0.008636419371189986
line_id_L23,-0.008532966520050837,0.008532966520050837
line_id_L05,0.007392001438310255,0.007392001438310255
fault_type_basic_relay_proxy,0.00729425833009088,0.00729425833009088
trip_implementation_basic_relay_proxy,0.007294258330047333,0.007294258330047333
line_id_L10,-0.0070429132584118375,0.0070429132584118375
min_voltage_pu,-0.006973387049431085,0.006973387049431085
line_id_L34,0.006193449118607093,0.006193449118607093
line_id_L01,-0.005686831590539991,0.005686831590539991
line_id_L25,-0.005427404704641618,0.005427404704641618
line_id_L02,0.005016363675466949,0.005016363675466949
line_id_L18,-0.004046583463451238,0.004046583463451238
line_id_L19,-0.003993891273177121,0.003993891273177121
line_id_NO_LINE,0.003963934915157605,0.003963934915157605
fault_type_three_phase_fault_clear,0.003963934915147828,0.003963934915147828
trip_implementation_existing_three_phase_fault_block,0.003963934915094466,0.003963934915094466
line_id_L31,-0.003919651879944071,0.003919651879944071
line_id_L16,-0.0036416746692774452,0.0036416746692774452
line_id_L03,0.003508122065874371,0.003508122065874371
line_id_L32,-0.0034764634254989724,0.0034764634254989724
line_id_L30,-0.0033519212434652396,0.0033519212434652396
line_id_L33,0.002740091685563736,0.002740091685563736
line_id_L27,-0.002255705478699844,0.002255705478699844
line_id_L09,0.001754817224997875,0.001754817224997875
line_id_L28,-0.0012987318236141222,0.0012987318236141222
line_id_L20,0.0007503523952883846,0.0007503523952883846
max_voltage_pu,0.0005173613270738171,0.0005173613270738171
max_speed_deviation,0.0003616878189626029,0.0003616878189626029
line_id_numeric,-0.0003402037390183534,0.0003402037390183534
line_id_L22,-0.00028919132169281936,0.00028919132169281936
line_id_L29,-0.00011756203172096037,0.00011756203172096037
physical_fault_or_breaker_action_executed,-5.355428162881368e-13,5.355428162881368e-13
