seed,top_k,num_simulated_paths,num_critical_found,critical_path_recall,smoke_recall,runtime_seconds,used_measured_state,simulation_initial_source,output_dir,notes
20260722,20,20,0,,0.0,3.5264334678649902,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260722,smoke truth only
20260722,50,50,2,,0.5,3.5264334678649902,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260722,smoke truth only
20260722,100,100,4,,1.0,3.5264334678649902,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260722,smoke truth only
20260723,20,20,1,,0.5,3.5771756172180176,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260723,smoke truth only
20260723,50,50,2,,1.0,3.5771756172180176,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260723,smoke truth only
20260723,100,100,2,,1.0,3.5771756172180176,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260723,smoke truth only
20260724,20,20,0,,0.0,3.6447439193725586,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260724,smoke truth only
20260724,50,50,2,,1.0,3.6447439193725586,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260724,smoke truth only
20260724,100,100,2,,1.0,3.6447439193725586,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260724,smoke truth only
20260725,20,20,0,,0.0,3.498396158218384,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260725,smoke truth only
20260725,50,50,2,,1.0,3.498396158218384,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260725,smoke truth only
20260725,100,100,2,,1.0,3.498396158218384,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260725,smoke truth only
20260726,20,20,0,,0.0,3.5231082439422607,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260726,smoke truth only
20260726,50,50,2,,1.0,3.5231082439422607,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260726,smoke truth only
20260726,100,100,2,,1.0,3.5231082439422607,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260726,smoke truth only
20260727,20,20,1,,0.3333333333333333,3.532170057296753,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260727,smoke truth only
20260727,50,50,2,,0.6666666666666666,3.532170057296753,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260727,smoke truth only
20260727,100,100,3,,1.0,3.532170057296753,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260727,smoke truth only
20260728,20,20,2,,0.6666666666666666,3.5538766384124756,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260728,smoke truth only
20260728,50,50,2,,0.6666666666666666,3.5538766384124756,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260728,smoke truth only
20260728,100,100,3,,1.0,3.5538766384124756,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260728,smoke truth only
20260729,20,20,1,,0.5,3.5385100841522217,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260729,smoke truth only
20260729,50,50,2,,1.0,3.5385100841522217,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260729,smoke truth only
20260729,100,100,2,,1.0,3.5385100841522217,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260729,smoke truth only
20260730,20,20,1,,0.5,3.501415491104126,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260730,smoke truth only
20260730,50,50,2,,1.0,3.501415491104126,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260730,smoke truth only
20260730,100,100,2,,1.0,3.501415491104126,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260730,smoke truth only
20260731,20,20,0,,0.0,3.5176010131835938,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260731,smoke truth only
20260731,50,50,1,,0.3333333333333333,3.5176010131835938,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260731,smoke truth only
20260731,100,100,3,,1.0,3.5176010131835938,False,seed_initial_dcopf_case,results\gcn_search\pio_small_experiment\seed_20260731,smoke truth only
