seed,method,top_k,total_critical_paths,critical_found,critical_path_recall,runtime_seconds,notes
20260722,physics_ce_mask,20,55,14,0.2545454545454545,0.5628492832183838,CE-only physics feature model with candidate mask
20260722,physics_ce_mask,50,55,18,0.32727272727272727,0.5628492832183838,CE-only physics feature model with candidate mask
20260722,physics_ce_mask,100,55,23,0.41818181818181815,0.5628492832183838,CE-only physics feature model with candidate mask
20260722,physics_loss_mask,20,55,14,0.2545454545454545,0.6021676063537598,original physics-informed loss model with candidate mask
20260722,physics_loss_mask,50,55,17,0.3090909090909091,0.6021676063537598,original physics-informed loss model with candidate mask
20260722,physics_loss_mask,100,55,22,0.4,0.6021676063537598,original physics-informed loss model with candidate mask
20260722,physics_rank_loss_mask,20,55,14,0.2545454545454545,0.6176378726959229,physics-informed model with reachable pairwise ranking loss and candidate mask
20260722,physics_rank_loss_mask,50,55,18,0.32727272727272727,0.6176378726959229,physics-informed model with reachable pairwise ranking loss and candidate mask
20260722,physics_rank_loss_mask,100,55,23,0.41818181818181815,0.6176378726959229,physics-informed model with reachable pairwise ranking loss and candidate mask
20260722,paper_gcn_path_prob,20,55,7,0.12727272727272726,3.2920753955841064,original paper 4-feature GCN_path_prob baseline; weak model
20260722,paper_gcn_path_prob,50,55,8,0.14545454545454545,3.2920753955841064,original paper 4-feature GCN_path_prob baseline; weak model
20260722,paper_gcn_path_prob,100,55,10,0.18181818181818182,3.2920753955841064,original paper 4-feature GCN_path_prob baseline; weak model
20260722,LODF_yP,20,55,2,0.03636363636363636,2.049984931945801,physical-rule ranking baseline
20260722,LODF_yP,50,55,10,0.18181818181818182,2.049984931945801,physical-rule ranking baseline
20260722,LODF_yP,100,55,11,0.2,2.049984931945801,physical-rule ranking baseline
20260722,oracle,20,55,20,0.36363636363636365,0.0006663799285888672,upper bound only
20260722,oracle,50,55,50,0.9090909090909091,0.0006663799285888672,upper bound only
20260722,oracle,100,55,55,1.0,0.0006663799285888672,upper bound only
20260723,physics_ce_mask,20,52,9,0.17307692307692307,0.6079392433166504,CE-only physics feature model with candidate mask
20260723,physics_ce_mask,50,52,18,0.34615384615384615,0.6079392433166504,CE-only physics feature model with candidate mask
20260723,physics_ce_mask,100,52,21,0.40384615384615385,0.6079392433166504,CE-only physics feature model with candidate mask
20260723,physics_loss_mask,20,52,9,0.17307692307692307,0.6113357543945312,original physics-informed loss model with candidate mask
20260723,physics_loss_mask,50,52,18,0.34615384615384615,0.6113357543945312,original physics-informed loss model with candidate mask
20260723,physics_loss_mask,100,52,22,0.4230769230769231,0.6113357543945312,original physics-informed loss model with candidate mask
20260723,physics_rank_loss_mask,20,52,9,0.17307692307692307,0.5992834568023682,physics-informed model with reachable pairwise ranking loss and candidate mask
20260723,physics_rank_loss_mask,50,52,18,0.34615384615384615,0.5992834568023682,physics-informed model with reachable pairwise ranking loss and candidate mask
20260723,physics_rank_loss_mask,100,52,23,0.4423076923076923,0.5992834568023682,physics-informed model with reachable pairwise ranking loss and candidate mask
20260723,paper_gcn_path_prob,20,52,3,0.057692307692307696,3.369429111480713,original paper 4-feature GCN_path_prob baseline; weak model
20260723,paper_gcn_path_prob,50,52,4,0.07692307692307693,3.369429111480713,original paper 4-feature GCN_path_prob baseline; weak model
20260723,paper_gcn_path_prob,100,52,5,0.09615384615384616,3.369429111480713,original paper 4-feature GCN_path_prob baseline; weak model
20260723,LODF_yP,20,52,2,0.038461538461538464,2.0007729530334473,physical-rule ranking baseline
20260723,LODF_yP,50,52,6,0.11538461538461539,2.0007729530334473,physical-rule ranking baseline
20260723,LODF_yP,100,52,10,0.19230769230769232,2.0007729530334473,physical-rule ranking baseline
20260723,oracle,20,52,20,0.38461538461538464,0.0004532337188720703,upper bound only
20260723,oracle,50,52,50,0.9615384615384616,0.0004532337188720703,upper bound only
20260723,oracle,100,52,52,1.0,0.0004532337188720703,upper bound only
20260724,physics_ce_mask,20,59,14,0.23728813559322035,0.5982406139373779,CE-only physics feature model with candidate mask
20260724,physics_ce_mask,50,59,22,0.3728813559322034,0.5982406139373779,CE-only physics feature model with candidate mask
20260724,physics_ce_mask,100,59,26,0.4406779661016949,0.5982406139373779,CE-only physics feature model with candidate mask
20260724,physics_loss_mask,20,59,13,0.22033898305084745,0.5456624031066895,original physics-informed loss model with candidate mask
20260724,physics_loss_mask,50,59,22,0.3728813559322034,0.5456624031066895,original physics-informed loss model with candidate mask
20260724,physics_loss_mask,100,59,26,0.4406779661016949,0.5456624031066895,original physics-informed loss model with candidate mask
20260724,physics_rank_loss_mask,20,59,14,0.23728813559322035,0.6010797023773193,physics-informed model with reachable pairwise ranking loss and candidate mask
20260724,physics_rank_loss_mask,50,59,22,0.3728813559322034,0.6010797023773193,physics-informed model with reachable pairwise ranking loss and candidate mask
20260724,physics_rank_loss_mask,100,59,26,0.4406779661016949,0.6010797023773193,physics-informed model with reachable pairwise ranking loss and candidate mask
