method,candidate_evaluations,total_physical_evaluations,critical_paths_found,relay_cascade_paths_found,island_only_paths_found,captured_load_shed_mw,critical_paths_found_std,relay_cascade_paths_found_std,island_only_paths_found_std,captured_load_shed_mw_std
LODF_yP,50,50,5.0,5.0,0.0,168.84531180151328,,,,
LODF_yP,100,100,10.0,10.0,0.0,333.7790563943185,,,,
LODF_yP,150,150,10.0,10.0,0.0,333.7790563943185,,,,
LODF_yP,163,163,10.0,10.0,0.0,333.7790563943185,,,,
LODF_yP,200,200,12.0,12.0,0.0,390.96394903468473,,,,
LODF_yP,250,250,16.0,16.0,0.0,523.6556556715851,,,,
LODF_yP,300,300,20.0,20.0,0.0,654.707828408093,,,,
LODF_yP,326,326,20.0,20.0,0.0,654.707828408093,,,,
LODF_yP,350,350,20.0,20.0,0.0,654.707828408093,,,,
LODF_yP,400,400,27.0,24.0,3.0,842.3220316095335,,,,
LODF_yP,450,450,33.0,26.0,7.0,1028.0321360993116,,,,
LODF_yP,500,500,33.0,26.0,7.0,1028.0321360993116,,,,
LODF_yP,550,550,33.0,26.0,7.0,1028.0321360993116,,,,
LODF_yP,600,600,37.0,30.0,7.0,1160.7238427362122,,,,
LODF_yP,650,650,44.0,35.0,9.0,1375.1253390306736,,,,
LODF_yP,651,651,44.0,35.0,9.0,1375.1253390306736,,,,
LODF_yP,700,700,44.0,35.0,9.0,1375.1253390306736,,,,
LODF_yP,750,750,45.0,36.0,9.0,1406.6401310785243,,,,
LODF_yP,800,800,49.0,40.0,9.0,1552.182122095969,,,,
LODF_yP,850,850,53.0,44.0,9.0,1683.2342948324767,,,,
LODF_yP,900,900,53.0,44.0,9.0,1683.2342948324767,,,,
LODF_yP,950,950,55.0,46.0,9.0,1751.5162494685426,,,,
LODF_yP,1000,1000,58.0,49.0,9.0,1860.291077897772,,,,
LODF_yP,1500,1500,83.0,74.0,9.0,2709.328322620191,,,,
LODF_yP,1628,1628,93.0,84.0,9.0,2999.93712121549,,,,
LODF_yP,2000,2000,112.0,103.0,9.0,3638.660489580689,,,,
LODF_yP,2116,2116,119.0,110.0,9.0,3843.761757568855,,,,
LODF_yP,2500,2500,140.0,131.0,9.0,4621.596087670572,,,,
LODF_yP,3000,3000,170.0,153.0,17.0,5512.701955983549,,,,
LODF_yP,3256,3256,186.0,159.0,27.0,6021.846905809532,,,,
LODF_yP,3500,3500,195.0,168.0,27.0,6329.955861611335,,,,
LODF_yP,4000,4000,225.0,198.0,27.0,7326.534780117928,,,,
LODF_yP,4500,4500,250.0,223.0,27.0,8104.465671876511,,,,
LODF_yP,4884,4884,271.0,244.0,27.0,8798.581753889805,,,,
LODF_yP,5000,5000,275.0,248.0,27.0,8933.271628610475,,,,
LODF_yP,5500,5500,303.0,276.0,27.0,9985.394221523247,,,,
LODF_yP,6000,6000,333.0,306.0,27.0,11084.014099549628,,,,
LODF_yP,6500,6500,355.0,328.0,27.0,11790.849459737086,,,,
LODF_yP,6512,6512,356.0,329.0,27.0,11834.442110975158,,,,
LODF_yP,7000,7000,381.0,344.0,37.0,12729.894613649049,,,,
LODF_yP,7500,7500,412.0,375.0,37.0,13905.897946507785,,,,
LODF_yP,8000,8000,437.0,400.0,37.0,14743.07352237013,,,,
LODF_yP,8500,8500,459.0,422.0,37.0,15527.48129897853,,,,
LODF_yP,9000,9000,490.0,443.0,47.0,16536.689722368497,,,,
LODF_yP,9500,9500,523.0,467.0,56.0,17592.615342712892,,,,
LODF_yP,10000,10000,546.0,490.0,56.0,18325.387912363887,,,,
LODF_yP,10500,10500,581.0,501.0,80.0,19388.341279469874,,,,
LODF_yP,11000,11000,615.0,515.0,100.0,20433.19177709548,,,,
LODF_yP,11500,11500,637.0,528.0,109.0,21105.61566996436,,,,
LODF_yP,12000,12000,662.0,552.0,110.0,21951.364601802048,,,,
LODF_yP,12500,12500,692.0,582.0,110.0,23002.136206867108,,,,
LODF_yP,13000,13000,715.0,605.0,110.0,23747.176147272025,,,,
LODF_yP,13500,13500,738.0,628.0,110.0,24572.447620474937,,,,
LODF_yP,14000,14000,765.0,655.0,110.0,25496.774487880342,,,,
LODF_yP,14500,14500,792.0,682.0,110.0,26355.58985890963,,,,
LODF_yP,15000,15000,821.0,711.0,110.0,27331.16250386545,,,,
LODF_yP,15500,15500,849.0,739.0,110.0,28323.945794922885,,,,
LODF_yP,16000,16000,874.0,764.0,110.0,29145.26497451466,,,,
