method,universe,K,candidate_path_evaluations,n1_prescreen_evaluations,total_physical_evaluations,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw,critical_hit_count_std,recall_critical_std,precision_at_k_std,relay_cascade_hit_count_std,recall_relay_cascade_std,island_only_hit_count_std,recall_island_only_std,captured_load_shed_mw_std
LODF_yP,full,100,100,0,100,0.003071253071253,10.0,0.0057012542759407,0.1,10.0,0.0060864272671941,0.0,0.0,333.77905639431845,,,,,,,,
N1_gate_plus_LODF_yP,full,100,100,186,286,0.003071253071253,86.0,0.04903078677309,0.86,82.0,0.049908703590992,4.0,0.036036036036036,2934.020907665169,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,100,100,186,286,0.003071253071253,92.0,0.0524515393386545,0.92,77.0,0.046865489957395,15.0,0.1351351351351351,5258.988021770555,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,100,100,186,286,0.003071253071253,95.0,0.0541619156214367,0.95,79.0,0.0480827754108338,16.0,0.1441441441441441,5685.831772560679,,,,,,,,
N1_gate_plus_line_order,full,100,100,186,286,0.003071253071253,87.0,0.0496009122006841,0.87,73.0,0.0444309190505173,14.0,0.1261261261261261,2970.788070253385,,,,,,,,
N1_gate_plus_random,full,100,100,186,286,0.003071253071253,88.0,0.0501710376282782,0.8800000000000001,84.8,0.0516129032258064,3.2,0.0288288288288288,3022.725769516516,3.197221015541813,0.0018228169985985,0.0319722101554181,3.259175083088085,0.0019836732094267,1.7511900715418265,0.0157764871310074,225.1696464327499
line_order,full,100,100,0,100,0.003071253071253,6.0,0.0034207525655644,0.06,6.0,0.0036518563603164,0.0,0.0,179.80777282719086,,,,,,,,
random,full,100,100,0,100,0.003071253071253,4.7,0.0026795895096921,0.047,4.7,0.0028606208155812,0.0,0.0,133.7718723348655,1.1595018087284057,0.0006610614644973,0.011595018087284,1.1595018087284057,0.0007057223425005,0.0,0.0,46.01628195801175
LODF_yP,full,500,500,0,500,0.0153562653562653,33.0,0.0188141391106043,0.066,26.0,0.0158247108947048,7.0,0.063063063063063,1028.0321360993116,,,,,,,,
N1_gate_plus_LODF_yP,full,500,500,186,686,0.0153562653562653,440.0,0.2508551881413911,0.88,412.0,0.2507608034083993,28.0,0.2522522522522522,15037.776164208,,,,,,,,
