step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,mask_enabled,mean_valid_action_count,sampled_invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
1,1,-105.03458650745756,105.03458650745756,"6,9",common_bus_N-2,2,1714,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,8,11.243157052993775,1,0
2,2,-104.9770575499286,104.9770575499286,"3,7",common_bus_N-2,2,1715,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,8,0.0,1,0
3,3,-101.14853164125964,101.14853164125964,17,N-1,1,748,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,14.929904747009275,1,0
4,4,-100.1,100.1,"0,1",common_bus_N-2,2,1737,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
5,5,-101.11967306676628,101.11967306676628,2,N-1,1,3,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,5.623080015182495,1,0
6,6,-0.1,0.1,4,N-1,1,1142,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
7,7,-103.05544664514919,103.05544664514919,1,N-1,1,979,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
9,8,-104.15544664514918,104.15544664514918,11,N-1,1,1292,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,6,0.0,2,0
10,9,-104.1307085944202,104.1307085944202,"10,12",common_bus_N-2,2,589,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,28.05696485042572,1,0
11,10,-103.05544664514919,103.05544664514919,"6,9",common_bus_N-2,2,1382,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,1,0
12,11,-0.1,0.1,"14,15",common_bus_N-2,2,1354,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
14,12,-109.23649784371813,109.23649784371813,"3,7",common_bus_N-2,2,771,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,12,56.82102556228637,2,0
15,13,-100.1,100.1,"6,7",common_bus_N-2,2,707,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
