phase,seed,method,num_queries,critical,relay,load_shed_mw,fallback_queries,fallback_critical,fallback_relay,fallback_load_shed_mw,errors,n1_state_constructions
development,20261201,frozen_gcn,2100,1318,1245,48327.09271179662,500,67,67,2159.0691517672126,0,186
development,20261201,pair_relation,2100,1332,1258,48595.08105348174,500,81,80,2427.0574934523374,0,186
development,20261201,local_rrf_070,2100,1293,1217,47528.62016166137,500,42,39,1360.5966016319546,0,186
development,20261201,local_rrf_085,2100,1296,1215,47522.90731823044,500,45,37,1354.8837582010356,0,186
development,20261201,global_rrf_050,2100,1333,1256,48608.74869647979,500,82,78,2440.7251364503845,0,186
development,20261201,global_rrf_070,2100,1329,1255,48522.29983359935,500,78,77,2354.276273569936,0,186
development,20261201,global_rrf_085,2100,1340,1258,48752.148697577424,500,89,80,2584.125137548014,0,186
development,20261202,frozen_gcn,2100,1261,1208,46558.92658847667,500,93,92,2717.2943955699657,0,186
development,20261202,pair_relation,2100,1260,1206,46596.773233627886,500,92,90,2755.1410407211806,0,186
development,20261202,local_rrf_070,2100,1207,1152,45076.11203095962,500,39,36,1234.479838052914,0,186
development,20261202,local_rrf_085,2100,1204,1150,45036.392227990065,500,36,34,1194.760035083359,0,186
development,20261202,global_rrf_050,2100,1263,1210,46673.87980398018,500,95,94,2832.247611073468,0,186
development,20261202,global_rrf_070,2100,1267,1213,46851.77904580715,500,99,97,3010.1468529004383,0,186
development,20261202,global_rrf_085,2100,1264,1210,46791.463020877054,500,96,94,2949.8308279703506,0,186
development,20261203,frozen_gcn,2100,1513,1456,56322.71592983944,500,57,55,1457.8433503362087,0,186
development,20261203,pair_relation,2100,1530,1469,56895.461274445115,500,74,68,2030.588694941888,0,186
development,20261203,local_rrf_070,2100,1500,1436,56024.2958835187,500,44,35,1159.423304015467,0,186
development,20261203,local_rrf_085,2100,1501,1439,56071.026043032674,500,45,38,1206.1534635294406,0,186
development,20261203,global_rrf_050,2100,1520,1463,56549.18899324837,500,64,62,1684.3164137451354,0,186
development,20261203,global_rrf_070,2100,1525,1463,56628.49705446008,500,69,62,1763.6244749568496,0,186
development,20261203,global_rrf_085,2100,1522,1464,56595.59068424703,500,66,63,1730.7181047437932,0,186
development,20261204,frozen_gcn,2100,1423,1330,47718.67929290061,500,63,48,1770.0286176449993,0,186
development,20261204,pair_relation,2100,1419,1332,47877.257687466714,500,59,50,1928.6070122111037,0,186
development,20261204,local_rrf_070,2100,1395,1306,47115.78866572591,500,35,24,1167.1379904702967,0,186
development,20261204,local_rrf_085,2100,1404,1305,47292.939445430326,500,44,23,1344.2887701747177,0,186
development,20261204,global_rrf_050,2100,1421,1333,47784.169493092624,500,61,51,1835.5188178370101,0,186
development,20261204,global_rrf_070,2100,1430,1333,48016.2971907669,500,70,51,2067.6465155112883,0,186
development,20261204,global_rrf_085,2100,1419,1331,47766.16258129012,500,59,49,1817.5119060345037,0,186
development,20261205,frozen_gcn,2100,1442,1363,40376.56605083273,500,129,124,3291.507908331285,0,186
development,20261205,pair_relation,2100,1455,1376,40806.69769049142,500,142,137,3721.6395479899816,0,186
development,20261205,local_rrf_070,2100,1397,1313,39178.84963495937,500,84,74,2093.791492457932,0,186
development,20261205,local_rrf_085,2100,1385,1304,38929.23670706448,500,72,65,1844.1785645630407,0,186
development,20261205,global_rrf_050,2100,1454,1372,40734.717487036294,500,141,133,3649.6593445348562,0,186
development,20261205,global_rrf_070,2100,1457,1376,40805.86199755165,500,144,137,3720.8038550502115,0,186
development,20261205,global_rrf_085,2100,1455,1373,40810.57643140613,500,142,134,3725.5182889046932,0,186
