path_id,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,error
1,L122->L041,L122,L041,True,False,0.0,0.0,0.0,0.055555555555555546,"L041,L122",
2,L152->L134,L152,L134,True,False,0.0,0.0,0.0,0.05555555555555555,"L134,L152",
3,L119->L006,L119,L006,True,False,0.0,0.0,0.0,0.05555555555555558,"L006,L119",
4,L013->L086,L013,L086,True,False,0.0,0.0,0.0,0.05555555555555555,"L013,L086",
5,L057->L071,L057,L071,True,False,0.0,0.0,0.0,0.05555555555555555,"L057,L071",
6,L169->L148,L169,L148,True,False,0.0,0.0,0.0,0.055555555555555566,"L148,L169",
7,L100->L113,L100,L113,True,False,0.0,0.0,0.0,0.055555555555555566,"L100,L113",
8,L039->L155,L039,L155,True,False,0.0,0.0,0.0,0.055555555555555546,"L039,L155",
9,L098->L043,L098,L043,True,False,0.0,0.0,0.0,0.05555555555555555,"L043,L098",
10,L124->L181,L124,L181,True,False,0.0,0.0,0.0,0.055555555555555566,"L124,L181",
11,L013->L162,L013,L162,True,False,0.0,0.0,0.0,0.05555555555555555,"L013,L162",
12,L084->L054,L084,L054,True,False,0.0,0.0,0.0,0.05555555555555558,"L054,L084",
13,L143->L063,L143,L063,True,False,0.0,0.0,0.0,0.05555555555555555,"L063,L143",
14,L032->L086,L032,L086,True,False,0.0,0.0,0.0,0.05555555555555555,"L032,L086",
15,L164->L002,L164,L002,True,False,0.0,0.0,0.0,0.05555555555555555,"L002,L164",
16,L105->L152,L105,L152,True,False,0.0,0.0,0.0,0.05555555555555555,"L105,L152",
17,L041->L045,L041,L045,True,False,0.0,0.0,0.0,0.05555555555555555,"L041,L045",
18,L090->L034,L090,L034,True,False,0.0,0.0,0.0,0.05555555555555555,"L034,L090",
19,L053->L111,L053,L111,True,False,0.0,0.0,0.0,0.03372303124405715,"L053,L111",
20,L017->L010,L017,L010,True,False,0.0,0.0,0.0,0.05555555555555558,"L010,L017",
21,L151->L053,L151,L053,True,False,0.0,0.0,0.0,0.05555555555555555,"L053,L151",
22,L049->L172,L049,L172,True,False,0.0,0.0,0.0,0.055555555555555566,"L049,L172",
23,L113->L076,L113,L076,True,False,0.0,0.0,0.0,0.055555555555555546,"L076,L113",
24,L073->L174,L073,L174,True,False,0.0,0.0,0.0,0.05555555555555555,"L073,L174",
25,L088->L019,L088,L019,True,False,0.0,0.0,0.0,0.05523232323232341,"L019,L088",
26,L047->L037,L047,L037,True,False,0.0,0.0,0.0,0.06282828282828284,"L037,L047",
27,L081->L045,L081,L045,True,False,0.0,0.0,0.0,0.05555555555555555,"L045,L081",
28,L088->L039,L088,L039,True,False,0.0,0.0,0.0,0.05555555555555558,"L039,L088",
29,L180->L150,L180,L150,True,False,0.0,0.0,0.0,0.055555555555555566,"L150,L180",
30,L043->L143,L043,L143,True,False,0.0,0.0,0.0,0.05555555555555558,"L043,L143",
31,L170->L131,L170,L131,True,False,0.0,0.0,0.0,0.05555555555555555,"L131,L170",
32,L027->L036,L027,L036,True,False,0.0,0.0,0.0,0.05555555555555558,"L027,L036",
33,L042->L081,L042,L081,True,False,0.0,0.0,0.0,0.055555555555555566,"L042,L081",
34,L116->L075,L116,L075,True,False,0.0,0.0,0.0,0.05555555555555555,"L075,L116",
35,L036->L160,L036,L160,True,False,0.0,0.0,0.0,0.05555555555555555,"L036,L160",
36,L025->L181,L025,L181,True,False,0.0,0.0,0.0,0.05555555555555558,"L025,L181",
37,L066->L178,L066,L178,True,False,0.0,0.0,0.0,0.05555555555555555,"L066,L178",
38,L182->L061,L182,L061,True,False,0.0,0.0,0.0,0.055555555555555566,"L061,L182",
39,L118->L141,L118,L141,True,False,0.0,0.0,0.0,0.055555555555555566,"L118,L141",
40,L182->L185,L182,L185,True,False,0.0,0.0,0.0,0.05555555555555555,"L182,L185",
41,L109->L174,L109,L174,True,False,0.0,0.0,0.0,0.055555555555555566,"L109,L174",
42,L162->L054,L162,L054,True,False,0.0,0.0,0.0,0.05555555555555555,"L054,L162",
43,L134->L184,L134,L184,True,True,20.0,20.0,0.0,0.05555555555555558,"L134,L184",
44,L162->L044,L162,L044,True,False,0.0,0.0,0.0,0.05555555555555555,"L044,L162",
45,L080->L044,L080,L044,True,False,0.0,0.0,0.0,0.05555555555555558,"L044,L080",
46,L163->L117,L163,L117,True,False,0.0,0.0,0.0,0.05555555555555555,"L117,L163",
47,L140->L146,L140,L146,True,False,0.0,0.0,0.0,0.05555555555555555,"L140,L146",
48,L029->L015,L029,L015,True,False,0.0,0.0,0.0,0.05555555555555558,"L015,L029",
49,L021->L057,L021,L057,True,False,0.0,0.0,0.0,0.05555555555555555,"L021,L057",
50,L099->L004,L099,L004,True,False,0.0,0.0,0.0,0.05555555555555555,"L004,L099",
51,L139->L029,L139,L029,True,False,0.0,0.0,0.0,0.04513131313131326,"L029,L139",
52,L129->L116,L129,L116,True,False,0.0,0.0,0.0,0.05555555555555558,"L116,L129",
53,L118->L130,L118,L130,True,False,0.0,0.0,0.0,0.042492031004817896,"L118,L130",
54,L102->L177,L102,L177,True,False,0.0,0.0,0.0,0.055555555555555566,"L102,L177",
55,L052->L027,L052,L027,True,False,0.0,0.0,0.0,0.05555555555555555,"L027,L052",
56,L099->L115,L099,L115,True,False,0.0,0.0,0.0,0.055555555555555566,"L099,L115",
57,L149->L173,L149,L173,True,False,0.0,0.0,0.0,0.05555555555555555,"L149,L173",
58,L172->L035,L172,L035,True,False,0.0,0.0,0.0,0.05555555555555558,"L035,L172",
59,L019->L100,L019,L100,True,False,0.0,0.0,0.0,0.05555555555555558,"L019,L100",
60,L136->L117,L136,L117,True,False,0.0,0.0,0.0,0.05555555555555555,"L117,L136",
61,L073->L146,L073,L146,True,False,0.0,0.0,0.0,0.05555555555555555,"L073,L146",
62,L045->L184,L045,L184,True,True,20.0,20.0,0.0,0.05555555555555555,"L045,L184",
63,L142->L171,L142,L171,True,False,0.0,0.0,0.0,0.05555555555555555,"L142,L171",
64,L059->L162,L059,L162,True,False,0.0,0.0,0.0,0.05555555555555555,"L059,L162",
65,L089->L074,L089,L074,True,False,0.0,0.0,0.0,0.05555555555555555,"L074,L089",
66,L063->L169,L063,L169,True,False,0.0,0.0,0.0,0.05555555555555555,"L063,L169",
67,L016->L155,L016,L155,True,False,0.0,0.0,0.0,0.039585538837111155,"L016,L155",
68,L136->L019,L136,L019,True,False,0.0,0.0,0.0,0.05555555555555555,"L019,L136",
69,L002->L074,L002,L074,True,False,0.0,0.0,0.0,0.05555555555555555,"L002,L074",
70,L080->L036,L080,L036,True,False,0.0,0.0,0.0,0.05555555555555555,"L036,L080",
71,L117->L181,L117,L181,True,False,0.0,0.0,0.0,0.05555555555555555,"L117,L181",
72,L071->L053,L071,L053,True,False,0.0,0.0,0.0,0.05555555555555555,"L053,L071",
73,L036->L057,L036,L057,True,False,0.0,0.0,0.0,0.043919191919191795,"L036,L057",
74,L148->L124,L148,L124,True,False,0.0,0.0,0.0,0.055555555555555566,"L124,L148",
75,L126->L045,L126,L045,True,False,0.0,0.0,0.0,0.055555555555555566,"L045,L126",
76,L111->L160,L111,L160,True,False,0.0,0.0,0.0,0.055555555555555566,"L111,L160",
77,L161->L001,L161,L001,True,False,0.0,0.0,0.0,0.05555555555555555,"L001,L161",
78,L100->L172,L100,L172,True,False,0.0,0.0,0.0,0.05555555555555555,"L100,L172",
79,L081->L026,L081,L026,True,False,0.0,0.0,0.0,0.05555555555555558,"L026,L081",
80,L109->L011,L109,L011,True,False,0.0,0.0,0.0,0.05555555555555558,"L011,L109",
81,L067->L186,L067,L186,True,False,0.0,0.0,0.0,0.05555555555555558,"L067,L186",
82,L161->L013,L161,L013,True,False,0.0,0.0,0.0,0.05555555555555555,"L013,L161",
83,L164->L070,L164,L070,True,False,0.0,0.0,0.0,0.05555555555555558,"L070,L164",
84,L046->L013,L046,L013,True,False,0.0,0.0,0.0,0.05555555555555558,"L013,L046",
85,L027->L051,L027,L051,True,False,0.0,0.0,0.0,0.05555555555555555,"L027,L051",
86,L090->L125,L090,L125,True,False,0.0,0.0,0.0,0.05555555555555555,"L090,L125",
87,L099->L035,L099,L035,True,False,0.0,0.0,0.0,0.055555555555555566,"L035,L099",
88,L094->L060,L094,L060,True,False,0.0,0.0,0.0,0.05555555555555558,"L060,L094",
89,L006->L115,L006,L115,True,False,0.0,0.0,0.0,0.055555555555555546,"L006,L115",
90,L140->L112,L140,L112,True,False,0.0,0.0,0.0,0.05555555555555555,"L112,L140",
91,L138->L098,L138,L098,True,False,0.0,0.0,0.0,0.05555555555555555,"L098,L138",
92,L176->L078,L176,L078,True,False,0.0,0.0,0.0,0.05555555555555555,"L078,L176",
93,L181->L172,L181,L172,True,False,0.0,0.0,0.0,0.05555555555555558,"L172,L181",
94,L145->L006,L145,L006,True,False,0.0,0.0,0.0,0.05555555555555555,"L006,L145",
95,L039->L136,L039,L136,True,False,0.0,0.0,0.0,0.05555555555555555,"L039,L136",
96,L039->L010,L039,L010,True,False,0.0,0.0,0.0,0.04173958668057858,"L010,L039",
97,L088->L035,L088,L035,True,False,0.0,0.0,0.0,0.055555555555555566,"L035,L088",
98,L038->L023,L038,L023,True,False,0.0,0.0,0.0,0.05555555555555558,"L023,L038",
99,L030->L010,L030,L010,True,False,0.0,0.0,0.0,0.05842704505865435,"L010,L030",
100,L104->L111,L104,L111,True,False,0.0,0.0,0.0,0.05555555555555555,"L104,L111",
