feature,pearson_abs_corr_with_y_critical,suspicious_near_perfect_corr,unique_values
rank_in_pio,0.20147887527978958,False,1406
rank_in_paper,0.16360569298252,False,1406
rank_in_lodf,0.3175482951755267,False,1406
pio_score,0.25349848108847184,False,5767
paper_score,0.2438596352001461,False,5674
lodf_score,0.5182784435622642,False,3189
ensemble_score_alpha_0_75,0.2596295497169187,False,5808
first_line_loading_ratio,0.07362092392892125,False,170
second_line_loading_ratio,0.3077660242549404,False,5403
max_loading_ratio,0.057229840794663644,False,44
min_security_margin,0.057229840794663624,False,44
min_relay_margin,0.057229840794663624,False,44
first_line_abs_flow,0.009123797494050971,False,168
second_line_abs_flow,0.216300032903339,False,5376
first_outage_num_overloaded_lines,0.008891253353703417,False,2
first_outage_max_loading_ratio,0.057229840794663644,False,44
first_outage_total_load_shed_mw,0.0,False,1
candidate_position_min_rank,0.24834467254684436,False,1253
