seed,baseline_method,candidate_method,fallback_queries,baseline_critical,candidate_critical,critical_delta,baseline_relay,candidate_relay,relay_delta,baseline_load_shed_mw,candidate_load_shed_mw,load_shed_delta_mw,fallback_critical_delta,fallback_relay_delta
20260716,tail,pcgrad,0,1210,1210,0,1135,1135,0,44765.84529871527,44765.84529871527,0.0,0,0
20260717,tail,pcgrad,0,1177,1177,0,1088,1088,0,45452.47275243313,45452.47275243313,0.0,0,0
20260718,tail,pcgrad,93,1442,1443,1,1357,1358,1,49516.076117506556,49568.93813188462,52.86201437806449,1,1
20260719,tail,pcgrad,265,1334,1343,9,1275,1274,-1,50950.97095796695,51041.638026835906,90.66706886895554,9,-1
20260720,tail,pcgrad,0,1341,1341,0,1260,1260,0,50974.08615567128,50974.08615567128,0.0,0,0
20260721,tail,pcgrad,278,1290,1290,0,1179,1177,-2,35869.35981698854,35775.59097117931,-93.7688458092307,0,-2
20260722,tail,pcgrad,100,1095,1091,-4,996,994,-2,35845.82039510286,35768.67137040426,-77.14902469859953,-4,-2
20260723,tail,pcgrad,0,1441,1441,0,1376,1376,0,54307.88084078784,54307.88084078784,0.0,0,0
20260724,tail,pcgrad,104,1353,1357,4,1271,1274,3,53147.89005415386,53254.489509697836,106.59945554397564,4,3
20260725,tail,pcgrad,276,1431,1423,-8,1305,1297,-8,51503.62558579467,51240.4434944534,-263.18209134126664,-8,-8
