epoch,train_loss,total_accuracy,hit_rate,cover_rate,precision,recall,f1,pr_auc,average_precision,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
1,1.0756959098366328,0.788813627523305,0.1711978465679677,0.9008498583569405,0.1711978465679677,0.9008498583569405,0.28771771092513004,0.3991288983316616,0.3991288983316616,0.7683493531811666,0.3024002178504865,0.4659491353306801,0.24914492656428142,0.056535443632217824,636,11126,3079,70,14911,706
2,0.7283284861862833,0.87479042317752,0.2639284261895079,0.9192634560906515,0.2639284261895079,0.9192634560906515,0.4101105845181674,0.6456257864586716,0.6456257864586716,0.8381131060550744,0.2123630825206585,0.6257500235344159,0.1649118100731004,0.06344309570116022,649,12395,1810,57,14911,706
3,0.585538739106496,0.9297833813962846,0.39672925499697154,0.9277620396600567,0.39672925499697154,0.9277620396600567,0.5557912600763683,0.7393466291263782,0.7393466291263782,0.8427685505351732,0.15454961968146547,0.6882189308537077,0.11072362685265912,0.0551270873851519,655,13209,996,51,14911,706
4,0.5126215026543,0.9130172355978807,0.3460135487232934,0.9405099150141643,0.3460135487232934,0.9405099150141643,0.5059047619047619,0.794513101514546,0.794513101514546,0.8848720452650621,0.15390280262697734,0.7309692426380848,0.12869693514854805,0.06330896653477298,664,12950,1255,42,14911,706
5,0.4713112046061202,0.929716316813091,0.3954767726161369,0.9164305949008499,0.3954767726161369,0.9164305949008499,0.5525192143467123,0.8176648121516491,0.8176648121516491,0.8809396746191104,0.14261850256284392,0.7383211720562665,0.10971765810475488,0.060559318623834756,647,13216,989,59,14911,706
6,0.4381652054277355,0.9306552209778016,0.39950980392156865,0.9235127478753541,0.39950980392156865,0.9235127478753541,0.5577416595380668,0.8386602397181564,0.8386602397181564,0.8938426582100498,0.13288451803425602,0.7609581401757938,0.10944939977198041,0.06257125611964322,652,13225,980,54,14911,706
7,0.41666962925899803,0.9452082355308161,0.4596363636363636,0.8951841359773371,0.4596363636363636,0.8951841359773371,0.6074002883229217,0.8394465707839206,0.8394465707839206,0.8807503535615402,0.1171926326309376,0.7635577209306026,0.09221380189122125,0.060022801958285826,632,13462,743,74,14911,706
8,0.39689576322309483,0.9318623834752867,0.40114795918367346,0.8909348441926346,0.40114795918367346,0.8909348441926346,0.5532102022867195,0.8437843499604019,0.8437843499604019,0.8886345245178905,0.12119482273408452,0.7674397017838059,0.10515726644758903,0.06351016028435383,629,13266,939,77,14911,706
9,0.3827336707649275,0.9474213667762055,0.47058823529411764,0.8838526912181303,0.47058823529411764,0.8838526912181303,0.6141732283464567,0.8494813783605786,0.8494813783605786,0.8753949000431547,0.10353033085002188,0.7718645691931328,0.08892763731473409,0.05894976862718798,624,13503,702,82,14911,706
10,0.3633110045441789,0.939843068875327,0.43534190927555855,0.9107648725212465,0.43534190927555855,0.9107648725212465,0.5890975721484196,0.8608601715609867,0.8608601715609867,0.9002779367585633,0.11030690050263087,0.7899710362559325,0.09905438937697002,0.06310777278519214,643,13371,834,63,14911,706
11,0.35283297260169416,0.9369592917980015,0.4224137931034483,0.9022662889518414,0.4224137931034483,0.9022662889518414,0.5754290876242096,0.8610587149580983,0.8610587149580983,0.8954638826038172,0.10860496632666733,0.7868589162771498,0.1011333914559721,0.06257125611964322,637,13334,871,69,14911,706
12,0.34371351885692497,0.941586748038361,0.44202389318341534,0.8909348441926346,0.44202389318341534,0.8909348441926346,0.5908877407233443,0.8671024020633394,0.8671024020633394,0.888265815851735,0.09784733625047011,0.7904184796012649,0.09543290188451478,0.06069344779022198,629,13411,794,77,14911,706
13,0.33955482070258786,0.9457447521963651,0.46221570066030815,0.8923512747875354,0.46221570066030815,0.8923512747875354,0.6089898501691638,0.8610460682498379,0.8610460682498379,0.8833120909206854,0.09250718074255748,0.7908049101781279,0.09140902689289786,0.058212058212058215,630,13472,733,76,14911,706
14,0.32871917787720467,0.9356180001341292,0.4173177083333333,0.9079320113314447,0.4173177083333333,0.9079320113314447,0.5718108831400535,0.8589688602512128,0.8589688602512128,0.9013021560237419,0.10534881652315817,0.7959533395005837,0.10301119978539333,0.06485145194822614,641,13310,895,65,14911,706
15,0.32430288015477243,0.9585540875863456,0.5377358490566038,0.8881019830028328,0.5377358490566038,0.8881019830028328,0.6698717948717949,0.8579057174041541,0.8579057174041541,0.8800139323977764,0.08951157351064502,0.7905023588871314,0.07819730400375562,0.0581449936288646,627,13666,539,79,14911,706
16,0.3203179382113456,0.9513111126014352,0.4921752738654147,0.8909348441926346,0.4921752738654147,0.8909348441926346,0.6340725806451613,0.859662657982446,0.859662657982446,0.8910412023281916,0.08424422775895272,0.8067969745692389,0.08570853732144054,0.062101804037287905,629,13556,649,77,14911,706
17,0.3134778046838974,0.9577493125880223,0.532312925170068,0.886685552407932,0.532312925170068,0.886685552407932,0.665249734325186,0.8585748877781222,0.8585748877781222,0.8807710733534452,0.07983053288349437,0.8009405404699508,0.07886794983569177,0.05559653946750721,626,13655,550,80,14911,706
