active_prob_threshold,margin_threshold,episodes,mean_negative_return,p95_negative_return,mean_num_proactive_actions,mean_num_line_outages,mean_load_shed_MW,worse_scenario_ratio_vs_do_nothing,improved_scenario_ratio_vs_do_nothing
0.2,0.0,100,77.64690682657788,106.9472213570046,0.27,3.48,3.8636793916821484,0.01,0.26
0.2,0.05,100,77.19004113269008,107.83207678017183,0.16,3.92,6.433952111184597,0.0,0.16
0.2,0.1,100,77.60889747899814,108.85258601952539,0.09,4.28,9.101979377746583,0.0,0.09
0.2,0.2,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.3,0.0,100,77.64690682657788,106.9472213570046,0.27,3.48,3.8636793916821484,0.01,0.26
0.3,0.05,100,77.19004113269008,107.83207678017183,0.16,3.92,6.433952111184597,0.0,0.16
0.3,0.1,100,77.60889747899814,108.85258601952539,0.09,4.28,9.101979377746583,0.0,0.09
0.3,0.2,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.35,0.0,100,77.3062325600981,107.88066780030078,0.14,4.02,6.9094136022329335,0.0,0.14
0.35,0.05,100,77.3062325600981,107.88066780030078,0.14,4.02,6.9094136022329335,0.0,0.14
0.35,0.1,100,77.60889747899814,108.85258601952539,0.09,4.28,9.101979377746583,0.0,0.09
0.35,0.2,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.4,0.0,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.4,0.05,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.4,0.1,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.4,0.2,100,78.09376329352263,109.79059609603333,0.02,4.71,12.096869085550308,0.0,0.02
0.5,0.0,100,78.26192447733608,111.06032177874893,0.0,4.86,14.199036938667298,0.0,0.0
0.5,0.05,100,78.26192447733608,111.06032177874893,0.0,4.86,14.199036938667298,0.0,0.0
0.5,0.1,100,78.26192447733608,111.06032177874893,0.0,4.86,14.199036938667298,0.0,0.0
0.5,0.2,100,78.26192447733608,111.06032177874893,0.0,4.86,14.199036938667298,0.0,0.0
