method,top_k,metric,estimate,ci_low,ci_high,bootstrap_n,random_seed
learned_mlp,50,dynamic_precision_at_k,0.3,0.18,0.44,1000,20260824
learned_mlp,50,mean_dynamic_stress_score,0.09853106341913559,0.06973561321608428,0.13204573872627604,1000,20260824
learned_mlp,50,mean_frequency_nadir_hz,49.40239293935422,49.372834181122876,49.43099048302533,1000,20260824
learned_mlp,50,mean_rotor_angle_coi_deg,179.8481372976387,179.8034824164933,179.8895738623247,1000,20260824
learned_mlp,100,dynamic_precision_at_k,0.27,0.19,0.35,1000,20260824
learned_mlp,100,mean_dynamic_stress_score,0.08710964846702061,0.06740595806751,0.1078596905610436,1000,20260824
learned_mlp,100,mean_frequency_nadir_hz,49.414464502922876,49.39242188673638,49.435193662385785,1000,20260824
learned_mlp,100,mean_rotor_angle_coi_deg,179.855628925069,179.8284911575652,179.8842922078432,1000,20260824
pio_gcn,50,dynamic_precision_at_k,0.34,0.22,0.48,1000,20260824
pio_gcn,50,mean_dynamic_stress_score,0.09974001900152174,0.06865163786523651,0.131563816546575,1000,20260824
pio_gcn,50,mean_frequency_nadir_hz,49.402955434214675,49.371342825450434,49.43287204097782,1000,20260824
pio_gcn,50,mean_rotor_angle_coi_deg,179.82549582663253,179.77264919071285,179.87071938918615,1000,20260824
pio_gcn,100,dynamic_precision_at_k,0.36,0.27,0.45,1000,20260824
pio_gcn,100,mean_dynamic_stress_score,0.10286803170483573,0.08039944062417931,0.12576431119814918,1000,20260824
pio_gcn,100,mean_frequency_nadir_hz,49.399846062414845,49.37582043056881,49.42296863853203,1000,20260824
pio_gcn,100,mean_rotor_angle_coi_deg,179.83075163242896,179.79805231696218,179.86258571888797,1000,20260824
lodf,50,dynamic_precision_at_k,0.28,0.16,0.4,1000,20260824
lodf,50,mean_dynamic_stress_score,0.08868230825958008,0.06155722329005439,0.1172606202441794,1000,20260824
lodf,50,mean_frequency_nadir_hz,49.41259707006566,49.38211990490891,49.441523573408375,1000,20260824
lodf,50,mean_rotor_angle_coi_deg,179.81370431449818,179.76485326908667,179.85563453139173,1000,20260824
lodf,100,dynamic_precision_at_k,0.3,0.22,0.4,1000,20260824
lodf,100,mean_dynamic_stress_score,0.09003921781308094,0.06838559908066401,0.1106731349851097,1000,20260824
lodf,100,mean_frequency_nadir_hz,49.41187833748359,49.38961819495451,49.431553594226756,1000,20260824
lodf,100,mean_rotor_angle_coi_deg,179.83138912731934,179.79751671252166,179.8628412059971,1000,20260824
learned_mlp,50,learned_precision_minus_pio_gcn,-0.040000000000000036,-0.22000000000000003,0.14,1000,20260824
learned_mlp,50,learned_stress_minus_pio_gcn,-0.0012089555823861509,-0.045822240734509516,0.04022603415659423,1000,20260824
learned_mlp,50,learned_precision_minus_lodf,0.019999999999999962,-0.15999999999999998,0.2,1000,20260824
learned_mlp,50,learned_stress_minus_lodf,0.009848755159555508,-0.03226045632291843,0.051448163857546234,1000,20260824
learned_mlp,100,learned_precision_minus_pio_gcn,-0.08999999999999997,-0.22,0.03999999999999998,1000,20260824
learned_mlp,100,learned_stress_minus_pio_gcn,-0.015758383237815116,-0.047443312104633976,0.013306214698669333,1000,20260824
learned_mlp,100,learned_precision_minus_lodf,-0.02999999999999997,-0.15,0.09,1000,20260824
learned_mlp,100,learned_stress_minus_lodf,-0.002929569346060326,-0.03347658836915921,0.02672733082148321,1000,20260824
