line_label,as_first_critical_count,as_first_total_count,as_first_critical_frequency,as_second_critical_count,as_second_total_count,as_second_critical_frequency,total_critical_count
L001,122,185,0.6594594594594595,0,2,0.0,122
L002,56,185,0.3027027027027027,2,2,1.0,58
L003,28,130,0.2153846153846154,1,2,0.5,29
L010,0,0,0.0,3,3,1.0,3
L016,0,0,0.0,3,3,1.0,3
L017,0,0,0.0,3,3,1.0,3
L023,0,0,0.0,3,3,1.0,3
L027,0,0,0.0,3,3,1.0,3
L028,0,0,0.0,3,3,1.0,3
L029,0,0,0.0,3,3,1.0,3
L031,0,0,0.0,3,3,1.0,3
L033,0,0,0.0,3,3,1.0,3
L034,0,0,0.0,3,3,1.0,3
L036,0,0,0.0,3,3,1.0,3
L038,0,0,0.0,3,3,1.0,3
L047,0,0,0.0,3,3,1.0,3
L069,0,0,0.0,3,3,1.0,3
L070,0,0,0.0,3,3,1.0,3
L071,0,0,0.0,3,3,1.0,3
L083,0,0,0.0,3,3,1.0,3
L090,0,0,0.0,3,3,1.0,3
L093,0,0,0.0,3,3,1.0,3
L094,0,0,0.0,3,3,1.0,3
L097,0,0,0.0,3,3,1.0,3
L103,0,0,0.0,3,3,1.0,3
L107,0,0,0.0,3,3,1.0,3
L116,0,0,0.0,3,3,1.0,3
L119,0,0,0.0,3,3,1.0,3
L004,0,0,0.0,2,3,0.6666666666666666,2
L005,0,0,0.0,2,3,0.6666666666666666,2
L006,0,0,0.0,2,3,0.6666666666666666,2
L007,0,0,0.0,2,3,0.6666666666666666,2
L008,0,0,0.0,2,3,0.6666666666666666,2
L009,0,0,0.0,2,3,0.6666666666666666,2
L011,0,0,0.0,2,3,0.6666666666666666,2
L012,0,0,0.0,2,3,0.6666666666666666,2
L013,0,0,0.0,2,3,0.6666666666666666,2
L015,0,0,0.0,2,3,0.6666666666666666,2
L020,0,0,0.0,2,3,0.6666666666666666,2
L021,0,0,0.0,2,3,0.6666666666666666,2
L022,0,0,0.0,2,3,0.6666666666666666,2
L032,0,0,0.0,2,3,0.6666666666666666,2
L041,0,0,0.0,2,3,0.6666666666666666,2
L063,0,0,0.0,2,3,0.6666666666666666,2
L133,0,0,0.0,2,2,1.0,2
L139,0,0,0.0,2,2,1.0,2
L148,0,0,0.0,2,2,1.0,2
L151,0,0,0.0,2,2,1.0,2
L152,0,0,0.0,2,2,1.0,2
L161,0,0,0.0,2,2,1.0,2
L162,0,0,0.0,2,2,1.0,2
L167,0,0,0.0,2,2,1.0,2
L181,0,0,0.0,2,2,1.0,2
L183,0,0,0.0,2,2,1.0,2
L184,0,0,0.0,2,2,1.0,2
L185,0,0,0.0,2,2,1.0,2
L030,0,0,0.0,1,3,0.3333333333333333,1
