line_label,relay_trip_count
L020,142
L015,130
L022,129
L102,126
L115,126
L128,125
L155,124
L060,122
L140,122
L156,122
L169,120
L091,119
L111,119
L158,119
L018,118
L019,118
L045,118
L046,117
L065,117
L109,117
L114,117
L149,117
L150,117
L160,117
L178,117
L182,117
L030,116
L044,116
L048,116
L056,116
L058,116
L110,116
L134,116
L143,116
L179,116
L040,115
L112,115
L113,115
L186,115
L054,114
L035,113
L175,113
L176,113
L121,112
L153,112
L122,111
L125,110
L104,109
L180,103
L062,102
L106,101
L064,100
L129,98
L057,97
L159,97
L068,96
L154,92
L105,91
L130,90
L131,85
L074,83
L073,82
L082,81
L095,81
L072,77
L132,69
L147,57
L126,49
L127,49
L148,48
L157,47
L063,40
L039,39
L078,36
L077,34
L025,32
L069,29
L151,28
L120,27
L092,26
L080,22
L119,22
L075,21
L076,21
L107,20
L043,18
L081,18
L136,18
L026,17
L116,17
L135,17
L012,16
L084,16
L162,15
L006,13
L101,12
L137,12
L024,11
L037,11
L042,10
L070,10
L014,9
L055,9
L079,9
L093,9
L094,9
L145,9
L133,8
L146,8
L152,8
L017,7
L027,7
L028,7
L144,7
L059,6
L088,6
L089,6
L032,5
L083,5
L181,5
L010,4
L011,4
L052,4
L053,4
L097,4
L185,4
L016,3
L029,3
L034,3
L061,3
L071,3
L090,3
L100,3
L172,3
L047,2
L049,2
L161,2
L170,2
L031,1
L041,1
L103,1
L117,1
L124,1
L138,1
L142,1
L171,1
L173,1
