seed,method,path,critical
20260722,rerank_pio_dominant,L08->L09,True
20260722,rerank_balanced,L07->L02,True
20260722,rerank_balanced,L08->L09,True
20260722,rerank_balanced,L24->L28,True
20260722,rerank_physical_stress,L07->L02,True
20260722,rerank_physical_stress,L08->L09,True
20260722,rerank_physical_stress,L24->L28,True
20260723,rerank_pio_dominant,L08->L09,True
20260723,rerank_pio_dominant,L08->L10,True
20260723,rerank_balanced,L08->L09,True
20260723,rerank_balanced,L08->L10,True
20260723,rerank_balanced,L38->L31,True
20260723,rerank_physical_stress,L08->L09,True
20260723,rerank_physical_stress,L08->L10,True
20260723,rerank_physical_stress,L38->L31,True
20260724,rerank_pio_dominant,L08->L09,True
20260724,rerank_pio_dominant,L08->L10,True
20260724,rerank_pio_dominant,L29->L23,True
20260724,rerank_balanced,L08->L09,True
20260724,rerank_balanced,L08->L10,True
20260724,rerank_balanced,L29->L23,True
20260724,rerank_physical_stress,L08->L09,True
20260724,rerank_physical_stress,L08->L10,True
20260724,rerank_physical_stress,L24->L27,True
20260724,rerank_physical_stress,L29->L23,True
20260725,rerank_pio_dominant,L08->L10,True
20260725,rerank_pio_dominant,L27->L02,True
20260725,rerank_balanced,L08->L10,True
20260725,rerank_balanced,L27->L02,True
20260725,rerank_physical_stress,L08->L09,True
20260725,rerank_physical_stress,L08->L10,True
20260725,rerank_physical_stress,L27->L02,True
20260726,rerank_pio_dominant,L29->L23,True
20260726,rerank_pio_dominant,L38->L31,True
20260726,rerank_balanced,L07->L02,True
20260726,rerank_balanced,L08->L07,True
20260726,rerank_balanced,L08->L27,True
20260726,rerank_balanced,L29->L23,True
20260726,rerank_balanced,L38->L31,True
20260726,rerank_physical_stress,L07->L02,True
20260726,rerank_physical_stress,L08->L07,True
20260726,rerank_physical_stress,L08->L27,True
20260726,rerank_physical_stress,L24->L27,True
20260726,rerank_physical_stress,L29->L23,True
20260726,rerank_physical_stress,L38->L31,True
