top_rank,top_bucket,scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,error
1,"top_20,top_50,top_100",1,20260708,L121->L125,L121,L125,True,True,111.76063839397672,111.76063839397672,0.0,0.0604052942705586,"L121,L125",2,
2,"top_20,top_50,top_100",1,20260708,L125->L121,L125,L121,True,True,111.76063839397672,111.76063839397672,0.0,0.0604052942705586,"L121,L125",2,
3,"top_20,top_50,top_100",1,20260708,L129->L183,L129,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0853257937746067,"L129,L183",2,
4,"top_20,top_50,top_100",1,20260708,L113->L183,L113,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0804534663786812,"L113,L183",2,
5,"top_20,top_50,top_100",1,20260708,L179->L183,L179,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0699644627925813,"L179,L183",2,
6,"top_20,top_50,top_100",1,20260708,L132->L183,L132,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0696021438230824,"L132,L183",2,
7,"top_20,top_50,top_100",1,20260708,L130->L183,L130,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.06959856578783,"L130,L183",2,
8,"top_20,top_50,top_100",1,20260708,L152->L183,L152,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0694832119309006,"L152,L183",2,
9,"top_20,top_50,top_100",1,20260708,L158->L183,L158,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.069459000420697,"L158,L183",2,
10,"top_20,top_50,top_100",1,20260708,L058->L183,L058,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0690389372087091,"L058,L183",2,
11,"top_20,top_50,top_100",1,20260708,L151->L183,L151,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0682818311148741,"L151,L183",2,
12,"top_20,top_50,top_100",1,20260708,L157->L183,L157,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0682637535522612,"L157,L183",2,
13,"top_20,top_50,top_100",1,20260708,L147->L183,L147,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0682520430632697,"L147,L183",2,
14,"top_20,top_50,top_100",1,20260708,L156->L183,L156,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.068246599854946,"L156,L183",2,
15,"top_20,top_50,top_100",1,20260708,L146->L183,L146,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0682458184299104,"L146,L183",2,
16,"top_20,top_50,top_100",1,20260708,L144->L183,L144,L183,True,True,81.35922639729833,81.35922639729833,0.0,0.0682447067433426,"L144,L183",2,
