scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,error
1,20260708,L007->L001,L007,L001,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L002,L007,L002,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L003,L007,L003,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L004,L007,L004,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L005,L007,L005,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L006,L007,L006,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L008,L007,L008,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L009,L007,L009,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L010,L007,L010,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L011,L007,L011,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L012,L007,L012,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L013,L007,L013,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L014,L007,L014,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L015,L007,L015,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L016,L007,L016,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L017,L007,L017,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L018,L007,L018,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L019,L007,L019,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L020,L007,L020,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L021,L007,L021,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L022,L007,L022,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L023,L007,L023,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L024,L007,L024,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L025,L007,L025,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L026,L007,L026,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L027,L007,L027,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L028,L007,L028,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L029,L007,L029,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L030,L007,L030,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L031,L007,L031,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L032,L007,L032,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L033,L007,L033,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L034,L007,L034,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L035,L007,L035,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L036,L007,L036,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L037,L007,L037,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L038,L007,L038,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L039,L007,L039,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L040,L007,L040,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L041,L007,L041,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L042,L007,L042,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L043,L007,L043,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L044,L007,L044,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
1,20260708,L007->L045,L007,L045,False,False,,,,,,0,index 13 is out of bounds for axis 1 with size 13
