dataset,method,universe,K,candidate_path_evaluations,n1_prescreen_evaluations,total_physical_evaluations,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw,critical_hit_count_std,recall_critical_std,precision_at_k_std,relay_cascade_hit_count_std,recall_relay_cascade_std,island_only_hit_count_std,recall_island_only_std,captured_load_shed_mw_std
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,100,100,186,286,0.003071253071253,92.0,0.0524515393386545,0.92,77.0,0.046865489957395,15.0,0.1351351351351351,5258.988021770555,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,500,500,186,686,0.0153562653562653,413.0,0.2354618015963512,0.826,373.0,0.227023737066342,40.0,0.3603603603603603,22041.905334081144,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,1000,1000,186,1186,0.0307125307125307,811.0,0.4623717217787913,0.811,755.0,0.4595252586731588,56.0,0.5045045045045045,34117.15276902382,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,2000,2000,186,2186,0.0614250614250614,1576.0,0.8985176738882554,0.788,1508.0,0.9178332318928788,68.0,0.6126126126126126,53745.73751079568,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,3000,3000,186,3186,0.0921375921375921,1652.0,0.9418472063854048,0.5506666666666666,1569.0,0.9549604382227632,83.0,0.7477477477477478,55501.39900300108,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,5000,5000,186,5186,0.1535626535626535,1716.0,0.9783352337514252,0.3432,1628.0,0.9908703590992088,88.0,0.7927927927927928,57464.04497738973,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,100,100,186,286,0.003071253071253,95.0,0.0541619156214367,0.95,79.0,0.0480827754108338,16.0,0.1441441441441441,5685.831772560679,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,500,500,186,686,0.0153562653562653,413.0,0.2354618015963512,0.826,374.0,0.2276323797930614,39.0,0.3513513513513513,22067.742963046738,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,1000,1000,186,1186,0.0307125307125307,810.0,0.4618015963511973,0.81,754.0,0.4589166159464394,56.0,0.5045045045045045,34126.90618572592,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,2000,2000,186,2186,0.0614250614250614,1583.0,0.902508551881414,0.7915,1515.0,0.9220937309799148,68.0,0.6126126126126126,53729.36183700032,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,3000,3000,186,3186,0.0921375921375921,1665.0,0.9492588369441276,0.555,1582.0,0.9628727936701156,83.0,0.7477477477477478,55858.28355872384,,,,,,,,
pilot_2000,N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,5000,5000,186,5186,0.1535626535626535,1716.0,0.9783352337514252,0.3432,1628.0,0.9908703590992088,88.0,0.7927927927927928,57464.04497738973,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,100,100,186,286,0.003071253071253,92.0,0.0524515393386545,0.92,87.0,0.0529519172245891,5.0,0.045045045045045,5957.743451898338,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,500,500,186,686,0.0153562653562653,410.0,0.233751425313569,0.82,373.0,0.227023737066342,37.0,0.3333333333333333,22105.476219011467,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,1000,1000,186,1186,0.0307125307125307,798.0,0.4549600912200684,0.798,737.0,0.4485696895922094,61.0,0.5495495495495496,33898.49148264935,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,2000,2000,186,2186,0.0614250614250614,1621.0,0.9241733181299886,0.8105,1551.0,0.9440048691418138,70.0,0.6306306306306306,54968.74667196584,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,3000,3000,186,3186,0.0921375921375921,1715.0,0.9777651083238312,0.5716666666666667,1625.0,0.9890444309190504,90.0,0.8108108108108109,57358.56770214524,,,,,,,,
paper_8000,N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,5000,5000,186,5186,0.1535626535626535,1741.0,0.992588369441277,0.3482,1641.0,0.9987827145465612,100.0,0.9009009009009008,58048.10601724687,,,,,,,,
