method,k,dynamic_precision_at_k,mean_dynamic_stress_score_at_k,cumulative_security_actions,cumulative_passive_relay_trips,cumulative_dynamic_load_shed_mw,mean_frequency_nadir_hz_at_k,mean_rotor_angle_coi_deg_at_k
learned_mlp,10,0.0,0.07174142907184944,0,0,0.0,49.42970807321997,179.8395481743167
learned_mlp,20,0.0,0.09169970533668988,0,0,0.0,49.40985113036821,179.8243108348826
learned_mlp,50,0.0,0.09974001900152174,0,0,0.0,49.402955434214675,179.82549582663253
learned_mlp,100,0.0,0.10397165815401015,0,0,0.0,49.39846686699122,179.83144866742984
pio_gcn,10,0.0,0.07174142907184944,0,0,0.0,49.42970807321997,179.8395481743167
pio_gcn,20,0.0,0.09169970533668988,0,0,0.0,49.40985113036821,179.8243108348826
pio_gcn,50,0.0,0.09974001900152174,0,0,0.0,49.402955434214675,179.82549582663253
pio_gcn,100,0.0,0.10397165815401015,0,0,0.0,49.39846686699122,179.83144866742984
lodf,10,0.0,0.04442319157418027,0,0,0.0,49.45819173560166,179.84821240937458
lodf,20,0.0,0.04841008625724967,0,0,0.0,49.45320214056157,179.87406122945333
lodf,50,0.0,0.08868230825958008,0,0,0.0,49.41259707006566,179.81370431449818
lodf,100,0.0,0.09493632756191478,0,0,0.0,49.40662295586317,179.8272600995788
