seed,gate_size,probes_per_second_line,promotion_min_positives,num_first_line_states,num_complete_subset_path_labels,num_source_s1_states,num_system_first_lines,complete_first_line_fraction_of_source_s1,complete_first_line_fraction_of_system,num_probe_paths,num_probe_positives,num_promoted_second_lines,promoted_second_lines,num_high_impact_gate_lines,num_promoted_high_impact_gate_lines,high_impact_line_recall,num_total_critical_paths,num_gate_critical_paths,num_captured_critical_paths,gate_critical_recall,complete_subset_critical_recall,estimated_n2_queries_before_fallback
20261101,26,1,1,74,13690,100,186,0.74,0.3978494623655914,26,9,9,L051;L097;L008;L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,494,0.9959677419354839,0.853195164075993,683
20261101,26,3,1,74,13690,100,186,0.74,0.3978494623655914,78,22,10,L047;L016;L151;L183;L184;L054;L051;L097;L008;L118,6,6,1.0,579,496,495,0.9979838709677419,0.8549222797927462,788
20261101,26,3,2,74,13690,100,186,0.74,0.3978494623655914,78,22,6,L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,446,0.8991935483870968,0.770293609671848,504
20261101,26,3,3,74,13690,100,186,0.74,0.3978494623655914,78,22,6,L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,446,0.8991935483870968,0.770293609671848,504
20261101,26,5,1,74,13690,100,186,0.74,0.3978494623655914,130,36,10,L047;L016;L151;L183;L184;L054;L051;L008;L097;L118,6,6,1.0,579,496,495,0.9979838709677419,0.8549222797927462,820
20261101,26,5,2,74,13690,100,186,0.74,0.3978494623655914,130,36,8,L047;L016;L151;L183;L184;L054;L051;L008,6,6,1.0,579,496,493,0.9939516129032258,0.8514680483592401,682
20261101,26,5,3,74,13690,100,186,0.74,0.3978494623655914,130,36,6,L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,448,0.9032258064516129,0.7737478411053541,544
20261101,26,5,4,74,13690,100,186,0.74,0.3978494623655914,130,36,6,L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,448,0.9032258064516129,0.7737478411053541,544
20261101,26,5,5,74,13690,100,186,0.74,0.3978494623655914,130,36,6,L047;L016;L151;L183;L184;L054,6,6,1.0,579,496,448,0.9032258064516129,0.7737478411053541,544
20261102,26,1,1,73,13505,100,186,0.73,0.3924731182795699,26,6,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,458
20261102,26,3,1,73,13505,100,186,0.73,0.3924731182795699,78,18,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,498
20261102,26,3,2,73,13505,100,186,0.73,0.3924731182795699,78,18,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,498
20261102,26,3,3,73,13505,100,186,0.73,0.3924731182795699,78,18,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,498
20261102,26,5,1,73,13505,100,186,0.73,0.3924731182795699,130,30,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,538
20261102,26,5,2,73,13505,100,186,0.73,0.3924731182795699,130,30,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,538
20261102,26,5,3,73,13505,100,186,0.73,0.3924731182795699,130,30,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,538
20261102,26,5,4,73,13505,100,186,0.73,0.3924731182795699,130,30,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,538
20261102,26,5,5,73,13505,100,186,0.73,0.3924731182795699,130,30,6,L016;L147;L047;L181;L183;L184,6,6,1.0,711,438,438,1.0,0.6160337552742616,538
20261103,26,1,1,71,13135,100,186,0.71,0.3817204301075269,26,6,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,426,0.9161290322580645,0.8255813953488372,446
20261103,26,3,1,71,13135,100,186,0.71,0.3817204301075269,78,19,7,L147;L016;L047;L181;L183;L184;L054,6,6,1.0,516,465,458,0.9849462365591398,0.8875968992248062,554
20261103,26,3,2,71,13135,100,186,0.71,0.3817204301075269,78,19,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,427,0.9182795698924732,0.8275193798449613,486
20261103,26,3,3,71,13135,100,186,0.71,0.3817204301075269,78,19,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,427,0.9182795698924732,0.8275193798449613,486
20261103,26,5,1,71,13135,100,186,0.71,0.3817204301075269,130,32,7,L147;L016;L047;L181;L183;L184;L054,6,6,1.0,516,465,458,0.9849462365591398,0.8875968992248062,592
20261103,26,5,2,71,13135,100,186,0.71,0.3817204301075269,130,32,7,L147;L016;L047;L181;L183;L184;L054,6,6,1.0,516,465,458,0.9849462365591398,0.8875968992248062,592
20261103,26,5,3,71,13135,100,186,0.71,0.3817204301075269,130,32,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,428,0.9204301075268817,0.8294573643410853,526
20261103,26,5,4,71,13135,100,186,0.71,0.3817204301075269,130,32,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,428,0.9204301075268817,0.8294573643410853,526
20261103,26,5,5,71,13135,100,186,0.71,0.3817204301075269,130,32,6,L147;L016;L047;L181;L183;L184,6,6,1.0,516,465,428,0.9204301075268817,0.8294573643410853,526
20261104,26,1,1,61,11285,100,186,0.61,0.3279569892473118,26,6,6,L016;L147;L047;L181;L054;L183,6,6,1.0,546,370,363,0.981081081081081,0.6648351648351648,386
20261104,26,3,1,61,11285,100,186,0.61,0.3279569892473118,78,17,6,L016;L147;L047;L181;L183;L054,6,6,1.0,546,370,363,0.981081081081081,0.6648351648351648,426
20261104,26,3,2,61,11285,100,186,0.61,0.3279569892473118,78,17,6,L016;L147;L047;L181;L183;L054,6,6,1.0,546,370,363,0.981081081081081,0.6648351648351648,426
20261104,26,3,3,61,11285,100,186,0.61,0.3279569892473118,78,17,5,L016;L147;L047;L181;L183,6,5,0.8333333333333334,546,370,307,0.8297297297297297,0.5622710622710623,368
20261104,26,5,1,61,11285,100,186,0.61,0.3279569892473118,130,30,7,L016;L147;L047;L181;L183;L054;L139,6,6,1.0,546,370,364,0.9837837837837838,0.6666666666666666,522
20261104,26,5,2,61,11285,100,186,0.61,0.3279569892473118,130,30,6,L016;L147;L047;L181;L183;L054,6,6,1.0,546,370,364,0.9837837837837838,0.6666666666666666,466
20261104,26,5,3,61,11285,100,186,0.61,0.3279569892473118,130,30,6,L016;L147;L047;L181;L183;L054,6,6,1.0,546,370,364,0.9837837837837838,0.6666666666666666,466
20261104,26,5,4,61,11285,100,186,0.61,0.3279569892473118,130,30,6,L016;L147;L047;L181;L183;L054,6,6,1.0,546,370,364,0.9837837837837838,0.6666666666666666,466
20261104,26,5,5,61,11285,100,186,0.61,0.3279569892473118,130,30,5,L016;L147;L047;L181;L183,6,5,0.8333333333333334,546,370,310,0.8378378378378378,0.5677655677655677,410
20261105,26,1,1,75,13875,100,186,0.75,0.4032258064516129,26,7,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,504,0.9767441860465116,0.711864406779661,544
20261105,26,3,1,75,13875,100,186,0.75,0.4032258064516129,78,22,8,L047;L016;L147;L181;L183;L184;L054;L051,7,7,1.0,708,516,514,0.9961240310077519,0.7259887005649718,654
20261105,26,3,2,75,13875,100,186,0.75,0.4032258064516129,78,22,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,582
20261105,26,3,3,75,13875,100,186,0.75,0.4032258064516129,78,22,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,582
20261105,26,5,1,75,13875,100,186,0.75,0.4032258064516129,130,36,8,L047;L016;L147;L181;L183;L184;L054;L051,7,7,1.0,708,516,514,0.9961240310077519,0.7259887005649718,690
20261105,26,5,2,75,13875,100,186,0.75,0.4032258064516129,130,36,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,620
20261105,26,5,3,75,13875,100,186,0.75,0.4032258064516129,130,36,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,620
20261105,26,5,4,75,13875,100,186,0.75,0.4032258064516129,130,36,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,620
20261105,26,5,5,75,13875,100,186,0.75,0.4032258064516129,130,36,7,L047;L016;L147;L181;L183;L184;L054,7,7,1.0,708,516,505,0.9786821705426356,0.713276836158192,620
20261106,26,1,1,85,15725,100,186,0.85,0.45698924731182794,26,9,9,L051;L054;L047;L181;L016;L147;L183;L184;L036,7,7,1.0,752,684,635,0.9283625730994152,0.8444148936170213,782
20261106,26,3,1,85,15725,100,186,0.85,0.45698924731182794,78,24,10,L054;L047;L181;L016;L147;L183;L184;L051;L008;L036,7,7,1.0,752,684,669,0.9780701754385965,0.8896276595744681,898
20261106,26,3,2,85,15725,100,186,0.85,0.45698924731182794,78,24,7,L054;L047;L181;L016;L147;L183;L184,7,7,1.0,752,684,597,0.8728070175438597,0.7938829787234043,652
20261106,26,3,3,85,15725,100,186,0.85,0.45698924731182794,78,24,7,L054;L047;L181;L016;L147;L183;L184,7,7,1.0,752,684,597,0.8728070175438597,0.7938829787234043,652
20261106,26,5,1,85,15725,100,186,0.85,0.45698924731182794,130,40,10,L054;L047;L181;L016;L147;L183;L184;L051;L008;L036,7,7,1.0,752,684,669,0.9780701754385965,0.8896276595744681,930
20261106,26,5,2,85,15725,100,186,0.85,0.45698924731182794,130,40,8,L054;L047;L181;L016;L147;L183;L184;L051,7,7,1.0,752,684,625,0.9137426900584795,0.8311170212765957,770
20261106,26,5,3,85,15725,100,186,0.85,0.45698924731182794,130,40,8,L054;L047;L181;L016;L147;L183;L184;L051,7,7,1.0,752,684,625,0.9137426900584795,0.8311170212765957,770
20261106,26,5,4,85,15725,100,186,0.85,0.45698924731182794,130,40,7,L054;L047;L181;L016;L147;L183;L184,7,7,1.0,752,684,599,0.8757309941520468,0.7965425531914894,690
20261106,26,5,5,85,15725,100,186,0.85,0.45698924731182794,130,40,7,L054;L047;L181;L016;L147;L183;L184,7,7,1.0,752,684,599,0.8757309941520468,0.7965425531914894,690
20261107,26,1,1,81,14985,100,186,0.81,0.43548387096774194,26,7,7,L097;L181;L180;L147;L016;L183;L184,7,7,1.0,674,545,528,0.9688073394495413,0.7833827893175074,586
