gate_size,probes_per_second_line,promotion_min_positives,num_validation_scenarios,num_complete_subset_validation_path_labels,gate_critical_recall_mean,gate_critical_recall_std,gate_critical_recall_min,complete_subset_critical_recall_mean,complete_first_line_fraction_of_source_s1_mean,complete_first_line_fraction_of_system_mean,high_impact_line_recall_mean,high_impact_line_recall_min,num_promoted_second_lines_mean,estimated_n2_queries_mean,estimated_n2_queries_max
26,1,1,8,108410,0.9275696625505939,0.11474897790020323,0.6534653465346535,0.6916169859790646,0.7325,0.39381720430107525,0.9583333333333334,0.6666666666666666,6.5,505.125,782
26,3,1,8,108410,0.9797132254763479,0.022578603505194816,0.9306930693069307,0.719391326426973,0.7325,0.39381720430107525,1.0,1.0,7.25,596.5,898
26,3,2,8,108410,0.9102771329412939,0.10936456850725587,0.6633663366336634,0.6757990819272824,0.7325,0.39381720430107525,0.9583333333333334,0.6666666666666666,5.875,497.0,652
26,3,3,8,108410,0.8821839020957695,0.10397820654995396,0.6633663366336634,0.6555601714806569,0.7325,0.39381720430107525,0.9196428571428572,0.6666666666666666,5.625,480.0,652
26,5,1,8,108410,0.9800510633141858,0.022622172102528766,0.9306930693069307,0.7196202641559107,0.7325,0.39381720430107525,1.0,1.0,7.375,641.0,930
26,5,2,8,108410,0.9439545756967542,0.09133931397789342,0.7277227722772277,0.701214875928464,0.7325,0.39381720430107525,0.9583333333333334,0.6666666666666666,6.5,580.375,770
26,5,3,8,108410,0.9171235911870129,0.10683302357258606,0.6683168316831684,0.681577540904626,0.7325,0.39381720430107525,0.9583333333333334,0.6666666666666666,6.0,547.25,770
26,5,4,8,108410,0.9123721291987088,0.10784537207652765,0.6683168316831684,0.6772557323939877,0.7325,0.39381720430107525,0.9583333333333334,0.6666666666666666,5.875,537.25,690
26,5,5,8,108410,0.8854132896251904,0.10215363313341645,0.6683168316831684,0.6578456172865432,0.7325,0.39381720430107525,0.9196428571428572,0.6666666666666666,5.625,520.75,690
76,1,1,8,108410,0.9248579975461841,0.04930016684666802,0.8295218295218295,0.8458473857016976,0.7325,0.39381720430107525,0.9821428571428571,0.8571428571428571,8.875,721.625,876
76,3,1,8,108410,0.9649715328116562,0.013758496869276852,0.9475920679886686,0.8816985049428085,0.7325,0.39381720430107525,1.0,1.0,10.25,949.625,1048
76,3,2,8,108410,0.9082786631036688,0.062062324300341545,0.8355140186915888,0.8303446752934792,0.7325,0.39381720430107525,0.9821428571428571,0.8571428571428571,7.25,739.75,876
76,3,3,8,108410,0.8848166725080575,0.06119896392350839,0.8236607142857143,0.8101057648468537,0.7325,0.39381720430107525,0.9486607142857143,0.8571428571428571,7.0,722.75,876
76,5,1,8,108410,0.9672214588969337,0.01309947608989922,0.9501039501039501,0.8837861459705342,0.7325,0.39381720430107525,1.0,1.0,10.75,1115.25,1260
76,5,2,8,108410,0.9402965392461823,0.042207999102120565,0.8627858627858628,0.8595030584815718,0.7325,0.39381720430107525,0.9821428571428571,0.8571428571428571,8.125,937.375,1100
76,5,3,8,108410,0.9155079164126461,0.057239383368670634,0.8378378378378378,0.8370368812007001,0.7325,0.39381720430107525,0.9821428571428571,0.8571428571428571,7.375,887.25,1020
76,5,4,8,108410,0.9109045169792184,0.06110846145236526,0.8378378378378378,0.8327150726900617,0.7325,0.39381720430107525,0.9821428571428571,0.8571428571428571,7.25,877.25,1010
76,5,5,8,108410,0.8883924116276734,0.059503873389867366,0.8325892857142857,0.8133049575826172,0.7325,0.39381720430107525,0.9486607142857143,0.8571428571428571,7.0,860.75,1010
