seed,method,top_k,total_critical_paths,critical_found,critical_path_recall,total_load_shed_found_mw,runtime_seconds,notes
20260722,physics_ce_no_mask,20,55,14,0.2545454545454545,4709.38426448707,0.4851562976837158,physics features; CE-only; no candidate probability mask
20260722,physics_ce_no_mask,50,55,18,0.32727272727272727,5184.887245221958,0.4851562976837158,physics features; CE-only; no candidate probability mask
20260722,physics_ce_no_mask,100,55,23,0.41818181818181815,6715.545849646647,0.4851562976837158,physics features; CE-only; no candidate probability mask
20260722,physics_ce_mask,20,55,14,0.2545454545454545,4709.38426448707,0.6265914440155029,physics features; CE-only; candidate probability mask enabled
20260722,physics_ce_mask,50,55,18,0.32727272727272727,5184.887245221958,0.6265914440155029,physics features; CE-only; candidate probability mask enabled
20260722,physics_ce_mask,100,55,23,0.41818181818181815,6715.545849646647,0.6265914440155029,physics features; CE-only; candidate probability mask enabled
20260722,physics_loss_no_mask,20,55,14,0.2545454545454545,4709.38426448707,0.5076155662536621,physics features; physics-informed loss; no candidate probability mask
20260722,physics_loss_no_mask,50,55,17,0.3090909090909091,5180.26558791425,0.5076155662536621,physics features; physics-informed loss; no candidate probability mask
20260722,physics_loss_no_mask,100,55,22,0.4,5988.2677212617955,0.5076155662536621,physics features; physics-informed loss; no candidate probability mask
20260722,physics_loss_mask,20,55,14,0.2545454545454545,4709.38426448707,0.6136283874511719,physics features; physics-informed loss; candidate probability mask enabled
20260722,physics_loss_mask,50,55,17,0.3090909090909091,5180.26558791425,0.6136283874511719,physics features; physics-informed loss; candidate probability mask enabled
20260722,physics_loss_mask,100,55,22,0.4,5988.2677212617955,0.6136283874511719,physics features; physics-informed loss; candidate probability mask enabled
20260722,paper_gcn_path_prob,20,55,7,0.12727272727272726,947.9219283869145,3.3109493255615234,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260722,paper_gcn_path_prob,50,55,8,0.14545454545454545,1110.2589872729425,3.3109493255615234,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260722,paper_gcn_path_prob,100,55,10,0.18181818181818182,1348.2827504692661,3.3109493255615234,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260722,LODF_yP,20,55,2,0.03636363636363636,35.77676315395209,2.2418816089630127,physical-rule ranking baseline
