test_case,simulation_success,physical_fault_or_breaker_action_executed,schema_only,simulation_mode,trip_implementation,fault_configuration_status,measurement_extraction_status,training_ready_candidate,timeout_or_error_message,fault_type,fault_start_s,fault_clear_s,tripped_line,relay_operated,breaker_opened,min_voltage_pu,max_voltage_pu,min_frequency_hz,max_frequency_hz,max_speed_deviation,max_rotor_angle_separation_deg,signal_source_summary,unstable_flag,trip_time_s,note,source_model,scenario_id,target_bus_or_component,duration_s,label_family,label_source,export_status,training_ready_label_v2,formal_line_trip_label,handwired_line_trip_label,non_line_trip_label,source_smoke_scenario_id,schema_version,provenance_check_required,not_independent_physical_sample_until_verified,duplicate_measurement_group,label_id_v2,training_ready_candidate_smoke,output_summary_path,output_event_log_path,line_id,line_id_numeric,dynamic_stress_score,preview_only,final_performance_conclusion
single_line_trip,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,1,,pilot_line_trip,0.5,0.0,L01,0.0,0.0,0.977848981006146,1.07072163203149,49.9353616132134,50.032733581516,0.0012927677357325,63.0811755502974,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated by validation script,,single_line_trip,L01,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_001,,,,L01,1.0,0.11985800311503436,True,False
clean_lab_handwired_line_trip_L02,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L02,0.0,0.0,0.971757189150533,1.06364694678186,49.942069286773,50.0438726917005,0.0011586142645401,60.0159418060852,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab,clean_lab_handwired_line_trip_L02,L02,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_002,,,,L02,2.0,0.114224327179405,True,False
clean_lab_handwired_line_trip_L03,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L03,0.0,0.0,0.977216383673597,1.06594646346562,49.9579511174319,50.0219087857767,0.0008409776513627,59.1851655492772,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L03,clean_lab_handwired_line_trip_L03,L03,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_003,,,,L03,3.0,0.10106733443827334,True,False
clean_lab_handwired_line_trip_L04,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L04,0.0,0.0,0.970568931976294,1.06388416646219,49.9194265059914,50.0604917001817,0.0016114698801721,60.3441340196063,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L04,clean_lab_handwired_line_trip_L04,L04,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_004,,,,L04,4.0,0.1297226827134509,True,False
clean_lab_handwired_line_trip_L05,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L05,0.0,0.0,0.976533231451396,1.06672687760572,49.9435041779294,50.0350763401759,0.0011299164414124,59.3996260385128,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L05,clean_lab_handwired_line_trip_L05,L05,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_005,,,,L05,5.0,0.11093523782514628,True,False
clean_lab_handwired_line_trip_L07,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L07,0.0,0.0,0.977275712718798,1.0635,49.9659586220781,50.0638838623163,0.0012776772463254,64.2603719421582,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L07,clean_lab_handwired_line_trip_L07,L07,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_006,,,,L07,7.0,0.120878424323069,True,False
clean_lab_handwired_line_trip_L06,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L06,0.0,0.0,0.98179500744113,1.0635,49.992072013846,50.0015960519456,0.0001585597230798,59.4195478404221,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L06,clean_lab_handwired_line_trip_L06,L06,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_007,,,,L06,6.0,0.0775466582183921,True,False
clean_lab_handwired_line_trip_L08,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L08,0.0,0.0,0.980434812521834,1.0635,49.9220094363894,50.0593379807457,0.001559811272212,68.693688479008,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L08,clean_lab_handwired_line_trip_L08,L08,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_008,,,,L08,8.0,0.13386800249647873,True,False
clean_lab_handwired_line_trip_L09,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L09,0.0,0.0,0.982,1.0635,49.9748232158444,50.0086356413494,0.0005035356831114,58.5226345615503,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L09,clean_lab_handwired_line_trip_L09,L09,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_009,,,,L09,9.0,0.08769005921396103,True,False
clean_lab_handwired_line_trip_L10,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L10,0.0,0.0,0.98176631303268,1.06568748727911,49.9772861882411,50.0243642178561,0.0004872843571215,60.2535109876332,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L10,clean_lab_handwired_line_trip_L10,L10,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_010,,,,L10,10.0,0.08916687758683246,True,False
clean_lab_handwired_line_trip_L17,1,1.0,0.0,graphical_simulink_phasor_RMS,handwired_timed_breaker,not_applicable,voltage_speed_angle,True,,pilot_line_trip,0.5,0.0,L17,0.0,0.0,0.977450336708604,1.0635,49.9011800116675,50.0527073711708,0.0019763997666496,58.858880454281,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,0,0.5,handwired timed breaker validated and compact simulation completed,clean_breaker_lab_L17,clean_lab_handwired_line_trip_L17,L17,0.0,existing_formal_dynamic,formal_v1_existing,existing_training_ready,True,1.0,1.0,0.0,,ieee39_dynamic_label_schema_v2,0.0,False,,formal_v1_011,,,,L17,17.0,0.13752413062841806,True,False
