first_line,second_line,num_seeds_seen,critical_count,critical_rate,mean_pio_score
L02,L07,5,5,1.0,0.39927317500114434
L02,L27,5,5,1.0,0.45288572311401365
L03,L09,5,5,1.0,0.5770960330963135
L04,L08,5,5,1.0,0.5066664814949036
L05,L10,5,5,1.0,0.5661762356758118
L06,L07,5,5,1.0,0.4572065532207489
L06,L27,5,5,1.0,0.4962702989578247
L07,L02,5,5,1.0,0.5818408489227295
L07,L06,5,5,1.0,0.653199291229248
L07,L23,5,5,1.0,0.7068114042282104
L07,L29,5,5,1.0,0.6586762070655823
L08,L01,5,5,1.0,0.5406128406524658
L08,L04,5,5,1.0,0.5425533056259155
L08,L09,5,5,1.0,0.6101355910301208
L08,L10,5,5,1.0,0.6217123150825501
L09,L03,5,5,1.0,0.47023904919624326
L10,L01,5,5,1.0,0.756846022605896
L10,L05,5,5,1.0,0.7310801267623901
L10,L07,5,5,1.0,0.735713005065918
L10,L08,5,5,1.0,0.7422402262687683
L10,L27,5,5,1.0,0.7262818694114686
L11,L12,5,5,1.0,0.548454999923706
L11,L13,5,5,1.0,0.5473078608512878
L12,L11,5,5,1.0,0.40920497179031373
L12,L13,5,5,1.0,0.6913172245025635
L13,L11,5,5,1.0,0.501576554775238
L13,L12,5,5,1.0,0.44138360023498535
L19,L23,5,5,1.0,0.480082768201828
L21,L22,5,5,1.0,0.6607051014900207
L23,L19,5,5,1.0,0.6609840512275695
L24,L28,5,5,1.0,0.6238896727561951
L25,L26,5,5,1.0,0.7580097436904907
L25,L28,5,5,1.0,0.7767406702041626
L26,L25,5,5,1.0,0.7580097436904907
L26,L28,5,5,1.0,0.7767406702041626
L27,L02,5,5,1.0,0.6275382399559021
L27,L06,5,5,1.0,0.711961817741394
L27,L23,5,5,1.0,0.7675826549530029
L27,L29,5,5,1.0,0.7148367166519165
L28,L24,5,5,1.0,0.8234426498413085
L28,L25,5,5,1.0,0.8269238233566284
L28,L26,5,5,1.0,0.8269238233566284
L29,L07,5,5,1.0,0.49367684721946714
L29,L23,5,5,1.0,0.574345076084137
L29,L27,5,5,1.0,0.5480425119400024
L10,L09,5,4,0.8,0.7468719601631164
L16,L17,5,4,0.8,0.7027682423591614
L17,L16,5,4,0.8,0.7278144001960755
L31,L38,5,4,0.8,0.6640769243240356
L38,L31,5,4,0.8,0.6115084767341614
L04,L09,5,3,0.6,0.5389712452888489
L08,L07,5,3,0.6,0.5806535005569458
L08,L27,5,3,0.6,0.5824416279792786
L10,L02,5,3,0.6,0.7362307429313659
L04,L10,5,2,0.4,0.5589684247970581
L07,L24,5,2,0.4,0.6832306504249572
L07,L28,5,2,0.4,0.6962565422058106
L08,L02,5,2,0.4,0.5620356917381286
L10,L04,5,2,0.4,0.7095942735671997
L24,L07,5,2,0.4,0.505574518442154
L24,L27,5,2,0.4,0.5636403322219848
L27,L24,5,2,0.4,0.7416279196739197
L27,L28,5,2,0.4,0.7561967492103576
