path,num_seeds_seen,num_samples,critical_count,critical_rate,mean_pio_score,mean_lodf_score,mean_max_loading_ratio
L02->L07,5,5,5,1.0,0.39927317500114434,0.7860158692481736,0.9071058443043964
L02->L27,5,5,5,1.0,0.45288572311401365,0.7860158692481694,0.9071058443043964
L03->L09,5,5,5,1.0,0.5770960330963135,0.8115147207360988,0.9071058443043964
L04->L08,5,5,5,1.0,0.5066664814949036,0.8015696117074496,0.9331056673583082
L05->L10,5,5,5,1.0,0.5661762356758118,1.0069905373336059,0.8912282461813591
L06->L07,5,5,5,1.0,0.4572065532207489,0.788388273681344,0.9071058443043964
L06->L27,5,5,5,1.0,0.4962702989578247,0.7883882736813466,0.9071058443043964
L07->L02,5,5,5,1.0,0.5818408489227295,1.0610435956873339,0.9362612621225068
L07->L06,5,5,5,1.0,0.653199291229248,1.061043595687337,0.9362612621225068
L07->L23,5,5,5,1.0,0.7068114042282104,1.168606705829123,0.9362612621225068
L07->L29,5,5,5,1.0,0.6586762070655823,1.1686067058291205,0.9362612621225068
L08->L01,5,5,5,1.0,0.5406128406524658,0.9644859323359324,0.9779069571440158
L08->L04,5,5,5,1.0,0.5425533056259155,0.8091249351540837,0.9779069571440158
L08->L09,5,5,5,1.0,0.6101355910301208,0.9184463669035559,0.9779069571440158
L08->L10,5,5,5,1.0,0.6217123150825501,0.9724670485958559,0.9779069571440158
L09->L03,5,5,5,1.0,0.47023904919624326,0.8044342431033232,0.9071058443043964
L10->L01,5,5,5,1.0,0.756846022605896,1.3181492793250469,0.9603548903072108
L10->L05,5,5,5,1.0,0.7310801267623901,1.0069905373336079,0.9603548903072108
L10->L07,5,5,5,1.0,0.735713005065918,1.078757354015228,0.9603548903072108
L10->L08,5,5,5,1.0,0.7422402262687683,1.318149279325043,0.9603548903072108
L10->L27,5,5,5,1.0,0.7262818694114686,1.0787573540152278,0.9603548903072108
L11->L12,5,5,5,1.0,0.548454999923706,1.327389379961025,0.6345690443755352
L11->L13,5,5,5,1.0,0.5473078608512878,1.3273893799610241,0.6345690443755352
L12->L11,5,5,5,1.0,0.40920497179031373,0.8804219848405832,1.0000000000000002
L12->L13,5,5,5,1.0,0.6913172245025635,0.8804219848405832,1.0000000000000002
L13->L11,5,5,5,1.0,0.501576554775238,0.8804219848405828,0.9071058443043964
L13->L12,5,5,5,1.0,0.44138360023498535,0.8804219848405828,0.9071058443043964
L19->L23,5,5,5,1.0,0.480082768201828,0.7717415779991109,0.7460201544115659
L21->L22,5,5,5,1.0,0.6607051014900207,1.0211826172515441,0.9071058443043964
L23->L19,5,5,5,1.0,0.6609840512275695,0.9649451191335142,0.9071058443043964
L24->L28,5,5,5,1.0,0.6238896727561951,1.0455802761207746,0.9071058443043964
L25->L26,5,5,5,1.0,0.7580097436904907,1.1184144308679844,0.9071058443043964
L25->L28,5,5,5,1.0,0.7767406702041626,1.1184144308679842,0.9071058443043964
L26->L25,5,5,5,1.0,0.7580097436904907,1.1184144308679844,0.9071058443043964
L26->L28,5,5,5,1.0,0.7767406702041626,1.1184144308679842,0.9071058443043964
L27->L02,5,5,5,1.0,0.6275382399559021,1.0610435956873312,0.9362612621225059
L27->L06,5,5,5,1.0,0.711961817741394,1.061043595687335,0.9362612621225059
L27->L23,5,5,5,1.0,0.7675826549530029,1.168606705829108,0.9362612621225059
L27->L29,5,5,5,1.0,0.7148367166519165,1.1686067058291116,0.9362612621225059
L28->L24,5,5,5,1.0,0.8234426498413085,1.1306832320047375,0.9071058443043964
L28->L25,5,5,5,1.0,0.8269238233566284,1.0557667067223986,0.9071058443043964
L28->L26,5,5,5,1.0,0.8269238233566284,1.0557667067223986,0.9071058443043964
L29->L07,5,5,5,1.0,0.49367684721946714,0.9535506179043158,0.9071058443043964
L29->L23,5,5,5,1.0,0.574345076084137,1.2707031596397975,0.9071058443043964
L29->L27,5,5,5,1.0,0.5480425119400024,0.9535506179043157,0.9071058443043964
L10->L09,5,5,4,0.8,0.7468719601631164,1.1078599396104045,0.9603548903072108
L16->L17,5,5,4,0.8,0.7027682423591614,0.8276849984061936,0.9071058443043964
L17->L16,5,5,4,0.8,0.7278144001960755,0.8058798805472371,0.9071058443043964
L31->L38,5,5,4,0.8,0.6640769243240356,0.7961787154482236,0.9071058443043964
L38->L31,5,5,4,0.8,0.6115084767341614,0.8195237031531327,0.9071058443043964
L04->L09,5,5,3,0.6,0.5389712452888489,0.8033044832402144,0.9331056673583082
L08->L07,5,5,3,0.6,0.5806535005569458,0.8311619229721424,0.9779069571440158
L08->L27,5,5,3,0.6,0.5824416279792786,0.831161922972141,0.9779069571440158
L10->L02,5,5,3,0.6,0.7362307429313659,1.011978977122006,0.9603548903072108
L04->L10,5,5,2,0.4,0.5589684247970581,0.7831860208667485,0.9331056673583082
L07->L24,5,5,2,0.4,0.6832306504249572,1.0860798685290918,0.9362612621225068
L07->L28,5,5,2,0.4,0.6962565422058106,1.0860798685290909,0.9362612621225068
L08->L02,5,5,2,0.4,0.5620356917381286,0.7884291494984884,0.9779069571440158
L10->L04,5,5,2,0.4,0.7095942735671997,0.9722197880260282,0.9603548903072108
L24->L07,5,5,2,0.4,0.505574518442154,0.8089217123281418,0.9071058443043964
L24->L27,5,5,2,0.4,0.5636403322219848,0.8089217123281427,0.9071058443043964
L27->L24,5,5,2,0.4,0.7416279196739197,1.0860798685290818,0.9362612621225059
L27->L28,5,5,2,0.4,0.7561967492103576,1.0860798685290756,0.9362612621225059
L28->L07,5,5,2,0.4,0.7006219863891602,0.8749371642760684,0.9071058443043964
L28->L27,5,5,2,0.4,0.7807840824127197,0.8749371642760682,0.9071058443043964
L01->L12,5,5,1,0.2,0.482253634929657,0.6477429612266002,0.6962698384559577
L01->L13,5,5,1,0.2,0.4758646488189697,0.646976719864109,0.6962698384559577
L04->L01,5,5,1,0.2,0.5020054578781128,0.742028709967619,0.9331056673583082
L23->L29,5,5,1,0.2,0.5502003788948059,0.7838209899605906,0.9071058443043964
L01->L02,5,5,0,0.0,0.46027061343193054,0.5401272946370226,0.6962698384559577
L01->L03,5,5,0,0.0,0.3462848007678986,0.46420876209979844,0.6962698384559577
L01->L04,5,5,0,0.0,0.39467833638191224,0.46097966250329947,0.6962698384559577
L01->L05,5,5,0,0.0,0.4218761444091797,0.5596369425583629,0.6962698384559577
