line_label,legacy_line_label,from_bus,to_bus,status,F_MW,abs_F_MW,F_max_MW,loading_ratio
L001,L01,1,2,1,-11.915853717775038,11.915853717775038,9900.0,0.0012036215876540443
L002,L02,1,3,1,-39.08414627717809,39.08414627717809,9900.0,0.003947893563351322
L003,L03,4,5,1,-102.95383566773282,102.95383566773282,9900.0,0.010399377340175032
L004,L04,3,5,1,-68.7138801942512,68.7138801942512,9900.0,0.006940795979217294
L005,L05,5,6,1,86.55750448009431,86.55750448009431,9900.0,0.008743182270716597
L006,L06,6,7,1,34.55750448514081,34.55750448514081,9900.0,0.003490657018701092
L007,L07,8,9,1,-436.08112219394764,436.08112219394764,9900.0,0.04404859820140885
L008,L08,8,5,1,334.78820425580057,334.78820425580057,9900.0,0.03381699032886874
L009,L09,9,10,1,-436.08112219394746,436.08112219394746,9900.0,0.044048598201408835
L010,L10,4,11,1,63.953835672780144,63.953835672780144,9900.0,0.006459983401290924
L011,L11,5,11,1,76.56298391372118,76.56298391372118,9900.0,0.007733634738759715
L012,L12,11,12,1,35.72760126505283,35.72760126505283,9900.0,0.003608848612631599
L013,L13,2,12,1,-31.915853717775057,31.915853717775057,9900.0,0.0032238236078560665
L014,L14,3,12,1,-9.370266082926971,9.370266082926971,9900.0,0.0009464915235279769
L015,L15,7,12,1,15.557504485141038,15.557504485141038,9900.0,0.0015714650995091958
L016,L16,11,13,1,34.789218321448075,34.789218321448075,9900.0,0.0035140624567119266
L017,L17,12,14,1,17.93645401680366,17.93645401680366,9900.0,0.0018117630320003695
L018,L18,13,15,1,0.7892183214480597,0.7892183214480597,9900.0,7.971902236849088e-05
L019,L19,14,15,1,3.9364540168036255,3.9364540168036255,9900.0,0.00039762161785895206
L020,L20,12,16,1,7.433369383981825,7.433369383981825,9900.0,0.0007508453923213965
L021,L21,15,17,1,-104.79457664955439,104.79457664955439,9900.0,0.01058531077268226
L022,L22,16,17,1,-17.56663061601824,17.56663061601824,9900.0,0.0017744071329311355
L023,L23,17,18,1,79.95558849808297,79.95558849808297,9900.0,0.008076322070513432
L024,L24,18,19,1,19.95558850312955,19.95558850312955,9900.0,0.0020157160104171262
L025,L25,19,20,1,-11.335079803467396,11.335079803467396,9900.0,0.0011449575559057976
L026,L26,15,19,1,11.219409461216845,11.219409461216845,9900.0,0.0011332736829511964
L027,L27,20,21,1,-29.335079803467366,29.335079803467366,9900.0,0.0029631393740876125
L028,L28,21,22,1,-43.335079803467295,43.335079803467295,9900.0,0.004377280788229019
L029,L29,22,23,1,-53.3350798034673,53.3350798034673,9900.0,0.005387381798330031
L030,L30,23,24,1,8.648061951575059,8.648061951575059,9900.0,0.000873541611270208
L031,L31,23,25,1,-160.28254151627107,160.28254151627107,9900.0,0.016190155708714248
L032,L32,26,25,1,84.42044787183906,84.42044787183906,9900.0,0.008527317966852431
L033,L33,25,27,1,137.3331216504498,137.3331216504498,9900.0,0.013872032489944425
L034,L34,27,28,1,32.77447006838705,32.77447006838705,9900.0,0.0033105525321603085
L035,L35,28,29,1,15.774470068387059,15.774470068387059,9900.0,0.0015933808149885917
L036,L36,30,17,1,227.9007902136616,227.9007902136616,9900.0,0.023020281839763797
L037,L37,8,30,1,73.29291794319381,73.29291794319381,9900.0,0.007403325044767052
L038,L38,26,30,1,219.8672867608084,219.8672867608084,9900.0,0.0222088168445261
L039,L39,17,31,1,13.443473292584883,13.443473292584883,9900.0,0.0013579265952105943
L040,L40,29,31,1,-8.225529931612918,8.225529931612918,9900.0,0.0008308616092538301
L041,L41,23,32,1,91.29939976122863,91.29939976122863,9900.0,0.009222161592043296
L042,L42,31,32,1,-30.998572515853606,30.998572515853606,9900.0,0.003131168940995314
