line_label,relay_trip_count
L128,176
L060,149
L102,147
L115,139
L155,136
L045,133
L178,131
L111,130
L156,128
L182,128
L158,127
L140,126
L109,125
L169,120
L046,119
L153,119
L154,119
L160,119
L179,119
L134,118
L150,116
L113,113
L044,111
L019,109
L110,109
L104,107
L157,102
L030,99
L159,98
L054,84
L018,77
L065,63
L148,52
L112,49
L143,40
L149,40
L078,34
L056,32
L077,25
L082,24
L186,22
L020,21
L095,20
L039,19
L057,19
L025,18
L040,16
L114,16
L015,13
L014,12
L091,12
L126,10
L127,10
L022,8
L026,8
L043,8
L074,8
L130,8
L106,7
L129,7
L131,7
L024,6
L032,6
L048,6
L120,6
L063,5
L064,5
L180,5
L001,4
L037,4
L058,4
L059,4
L079,4
L132,4
L012,3
L062,3
L073,3
L105,3
L017,2
L061,2
L089,2
L092,2
L119,2
L006,1
L010,1
L027,1
L175,1
