rank,scenario_id,gcn_score,true_do_nothing_negative_return,best_improvement,initial_outages
1,42,0.12194546,107.86682892,7.76682568,8
2,85,0.11548837,109.84722137,9.74722290,"6,9"
3,45,0.11494408,106.92033386,106.82033539,8
4,86,0.11487793,102.95544434,2.85544658,"3,5"
5,69,0.11475907,113.86174774,13.76175022,3
6,73,0.11422799,104.87705994,4.77705765,"8,16"
7,59,0.11228394,108.76914978,8.66914845,7
8,15,0.11180063,103.92105865,3.82105613,"3,7"
9,37,0.11134825,101.98013306,1.88013268,8
10,38,0.11081315,109.85618591,9.75618458,"9,11"
11,26,0.11031651,101.98013306,1.88013268,"8,15"
12,64,0.10958777,110.74031067,10.64031315,"3,7"
13,10,0.10873166,101.98873138,1.88873351,"5,8"
14,25,0.10625977,105.09674835,4.99674845,"8,14"
15,96,0.10607942,-0.00000000,0.00000000,4
16,46,0.10545930,104.95046234,104.85046387,4
17,35,0.10545833,108.05005646,107.95005035,"5,8"
18,91,0.10436889,107.83701324,7.73701382,"9,11"
19,4,0.10348707,100.00000000,0.00000000,"7,13"
20,62,0.10328112,101.98013306,1.88013268,"3,4"
