feature,coefficient,abs_coefficient
intercept,-0.6305476005058769,0.6305476005058769
line_id_L08,-0.016498418764067286,0.016498418764067286
line_id_L01,-0.015026539119985607,0.015026539119985607
line_id_L05,0.014317577999170824,0.014317577999170824
line_id_L04,0.014250154576547635,0.014250154576547635
max_rotor_angle_separation_deg,0.01162486766600232,0.01162486766600232
line_id_numeric,-0.007845430376078197,0.007845430376078197
fault_type_basic_relay_proxy,0.006564073500273842,0.006564073500273842
trip_implementation_basic_relay_proxy,0.006564073500273702,0.006564073500273702
breaker_opened,-0.005769136251483139,0.005769136251483139
fault_type_pilot_line_trip,-0.0057691362514825165,0.0057691362514825165
trip_implementation_handwired_timed_breaker,-0.005769136251482511,0.005769136251482511
min_voltage_pu,-0.0034192342285553753,0.0034192342285553753
line_id_L03,0.0028064827156083754,0.0028064827156083754
max_frequency_hz,0.0023484809450171787,0.0023484809450171787
line_id_L06,0.0014957345041059014,0.0014957345041059014
line_id_L07,-0.001142759058377631,0.001142759058377631
line_id_NO_LINE,-0.0007949372488108334,0.0007949372488108334
fault_type_three_phase_fault_clear,-0.0007949372488107545,0.0007949372488107545
trip_implementation_existing_three_phase_fault_block,-0.0007949372488106783,0.0007949372488106783
min_frequency_hz,-0.0007070921444978789,0.0007070921444978789
line_id_L02,0.0005927043957873693,0.0005927043957873693
max_speed_deviation,4.038136555554584e-05,4.038136555554584e-05
max_voltage_pu,1.5596481146329563e-05,1.5596481146329563e-05
physical_fault_or_breaker_action_executed,-1.9779004728005052e-14,1.9779004728005052e-14
