line_label,relay_trip_count
L128,207
L102,197
L155,194
L115,191
L060,190
L140,189
L158,189
L156,188
L178,188
L182,186
L045,184
L169,184
L046,183
L111,183
L154,183
L179,183
L109,182
L134,182
L143,182
L153,182
L160,181
L044,179
L110,179
L149,179
L030,178
L113,177
L040,176
L150,176
L159,174
L112,168
L056,166
L054,165
L157,160
L104,151
L148,140
L057,115
L065,106
L018,104
L019,101
L175,87
L039,70
L129,67
L186,65
L130,64
L131,58
L114,55
L132,53
L020,49
L078,47
L082,47
L095,46
L106,41
L077,39
L073,36
L074,35
L022,33
L025,32
L063,29
L064,29
L091,29
L062,24
L180,24
L126,21
L127,21
L014,19
L026,18
L105,18
L024,16
L012,15
L037,15
L079,13
L015,12
L092,12
L043,11
L035,10
L048,10
L151,10
L032,9
L080,9
L120,9
L089,8
L093,8
L094,8
L101,8
L001,7
L027,7
L055,7
L058,7
L084,7
L119,7
L081,6
L088,6
L034,5
L083,5
L100,5
L121,5
L122,5
L017,4
L059,4
L075,4
L076,4
L116,4
L011,3
L070,3
L135,3
L028,2
L042,2
L047,2
L103,2
L136,2
L146,2
L152,2
L185,2
L002,1
L004,1
L006,1
L010,1
L013,1
L029,1
L052,1
L053,1
L061,1
L072,1
L098,1
L099,1
L117,1
L142,1
L170,1
L171,1
L173,1
