query_rank,path,first_line,second_line,search_stage,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,max_event_loading_ratio,max_pre_redispatch_loading_ratio,num_relay_trips,relay_trip_labels,num_passive_outages,has_overload_cascade,critical_mechanism,relay_cascade,error,resumed
121,L036->L183,L036,L183,probe,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L019,L020,L025,L026,L036,L039,L044,L045,L060,L111,L115,L134,L140,L155,L178,L182,L183",18,1.102361173421188,1.102361173421188,0,,16,False,island_only,False,,True
122,L008->L183,L008,L183,probe,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000004,"L008,L018,L019,L020,L060,L111,L115,L134,L140,L155,L178,L182,L183",13,1.1567176119406375,1.1567176119406375,0,,11,False,island_only,False,,True
123,L038->L183,L038,L183,probe,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000009,"L018,L038,L060,L111,L115,L134,L140,L155,L156,L178,L179,L182,L183",13,1.0483942990628434,1.0483942990628434,0,,11,False,island_only,False,,True
124,L050->L183,L050,L183,probe,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000002,"L018,L045,L046,L050,L060,L111,L115,L134,L140,L155,L156,L178,L182,L183",14,1.0616168625540356,1.0616168625540356,0,,12,False,island_only,False,,True
125,L037->L183,L037,L183,probe,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L019,L020,L037,L060,L111,L115,L134,L140,L155,L156,L178,L182,L183",14,1.0759922307995968,1.0759922307995968,0,,12,False,island_only,False,,True
1498,L110->L183,L110,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000002,"L018,L060,L110,L111,L134,L140,L155,L156,L178,L182,L183",11,1.0853807038189889,1.0853807038189889,0,,9,False,island_only,False,,True
1499,L112->L183,L112,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L060,L111,L112,L115,L134,L140,L155,L156,L178,L182,L183",12,1.0744435463822262,1.0744435463822262,0,,10,False,island_only,False,,True
1500,L096->L183,L096,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L030,L060,L096,L102,L111,L115,L134,L140,L155,L178,L182,L183",13,70.89436107860081,70.89436107860081,6,"L018,L134,L140,L155,L178,L182",11,True,relay_cascade,True,,True
1501,L049->L183,L049,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L046,L049,L060,L111,L115,L134,L140,L155,L156,L178,L182,L183",13,1.068053393877742,1.068053393877742,0,,11,False,island_only,False,,True
1502,L007->L183,L007,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000002,"L007,L018,L019,L030,L060,L104,L111,L115,L134,L140,L155,L156,L158,L178,L182,L183",16,1.267149213313964,1.267149213313964,1,L104,14,True,relay_cascade,True,,True
1503,L009->L183,L009,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L009,L018,L019,L030,L060,L104,L111,L115,L134,L140,L155,L156,L158,L178,L182,L183",16,1.267149213313959,1.267149213313959,1,L104,14,True,relay_cascade,True,,True
1504,L113->L183,L113,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L113,L115,L134,L140,L155,L156,L178,L182,L183",11,1.075747138602853,1.075747138602853,0,,9,False,island_only,False,,True
1505,L133->L183,L133,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L060,L111,L115,L133,L140,L155,L178,L182,L183",10,1.0588924316430408,1.0588924316430408,0,,8,False,island_only,False,,True
1506,L134->L183,L134,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000009,"L018,L060,L111,L115,L134,L140,L155,L178,L182,L183",10,1.0650206992691094,1.0650206992691094,0,,8,False,island_only,False,,True
1507,L176->L183,L176,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L060,L111,L115,L134,L140,L155,L176,L178,L182,L183",11,1.0823952214328674,1.0823952214328674,0,,9,False,island_only,False,,True
1508,L177->L183,L177,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L111,L115,L134,L140,L155,L156,L177,L178,L182,L183",12,1.0579256818316418,1.0579256818316418,0,,10,False,island_only,False,,True
1509,L031->L183,L031,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L031,L060,L111,L115,L134,L140,L155,L178,L182,L183",11,70.78041316403825,70.78041316403825,6,"L018,L060,L115,L134,L140,L155",9,True,relay_cascade,True,,True
1510,L141->L183,L141,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L111,L115,L134,L140,L141,L155,L156,L178,L182,L183",12,4.008489105887399,4.008489105887399,7,"L018,L060,L111,L115,L134,L178,L182",10,True,relay_cascade,True,,True
1511,L041->L183,L041,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000002,"L018,L041,L060,L111,L115,L134,L140,L155,L178,L182,L183",11,70.68160815781219,70.68160815781219,6,"L018,L060,L115,L134,L140,L155",9,True,relay_cascade,True,,True
1512,L161->L183,L161,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L060,L111,L115,L134,L140,L155,L161,L178,L182,L183",11,4.007413360096588,4.007413360096588,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1513,L162->L183,L162,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000002,"L018,L060,L111,L115,L134,L140,L155,L162,L178,L182,L183",11,4.007203587419827,4.007203587419827,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1514,L144->L183,L144,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L111,L115,L134,L140,L144,L155,L178,L182,L183",11,4.007369914847166,4.007369914847166,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1515,L033->L183,L033,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.000000000000001,"L018,L033,L060,L111,L115,L134,L140,L155,L178,L182,L183",11,70.73885026343136,70.73885026343136,7,"L018,L060,L111,L115,L134,L140,L155",9,True,relay_cascade,True,,True
1516,L145->L183,L145,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000049,"L018,L060,L111,L115,L134,L140,L145,L155,L178,L182,L183",11,4.007388194958672,4.007388194958672,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1517,L154->L183,L154,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L111,L115,L134,L140,L154,L155,L178,L182,L183",11,4.006845306767236,4.006845306767236,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1518,L146->L183,L146,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0,"L018,L060,L111,L115,L134,L140,L146,L155,L178,L182,L183",11,4.007409371918449,4.007409371918449,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
1519,L152->L183,L152,L183,promoted_line_expansion,True,True,85.1280760939776,85.1280760939776,0.0,1.0000000000000095,"L018,L060,L111,L115,L134,L140,L152,L155,L178,L182,L183",11,4.0083008514561405,4.0083008514561405,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,True,,True
