pair_id,prior_outaged_branch,candidate_next_branch,planned_contingency_sequence,prior_branch_mapping_available,next_branch_mapping_available,sequence_injection_supported,execution_ready,missing_mapping_fields,l12_special_case_flag,notes
SPP001,L15,L04,L15;L04,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP002,L04,L15,L04;L15,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP003,L24,L04,L24;L04,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP004,L04,L24,L04;L24,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP005,L24,L15,L24;L15,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP006,L15,L24,L15;L24,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP007,L22,L17,L22;L17,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP008,L17,L22,L17;L22,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP009,L02,L17,L02;L17,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP010,L17,L02,L17;L02,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP011,L03,L02,L03;L02,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP012,L02,L03,L02;L03,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP013,L26,L05,L26;L05,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP014,L05,L26,L05;L26,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP015,L14,L07,L14;L07,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP016,L07,L14,L07;L14,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP017,L05,L03,L05;L03,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP018,L03,L05,L03;L05,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP019,L14,L08,L14;L08,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP020,L08,L14,L08;L14,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP021,L10,L33,L10;L33,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP022,L33,L10,L33;L10,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP023,L10,L34,L10;L34,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP024,L34,L10,L34;L10,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP025,L06,L33,L06;L33,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP026,L33,L06,L33;L06,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP027,L06,L34,L06;L34,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP028,L34,L06,L34;L06,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP029,L09,L16,L09;L16,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP030,L16,L09,L16;L09,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP031,L16,L25,L16;L25,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
SPP032,L25,L16,L25;L16,True,True,False,False,approved_two_step_line_trip_sequence_injection;selected_pair_batch_runner;selected_pair_result_parser_contract,False,"line map exists for branch endpoints, but selected-pair two-step execution backend is not approved"
